Animal ID,,tank/clutch,Year,Date stocked,Date.metamorphosed,Days to metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments
Rcap-,1,1,2009,3/9/09,10-Jun,93,,,
Rcap-,2,1,2009,3/9/09,10-Jun,93,,,
Rcap-,3,1,2009,3/9/09,10-Jun,93,4.6,2100,Andy took blood
Rcap-,4,1,2009,3/9/09,10-Jun,93,4.34,2100,
Rcap-,5,1,2009,3/9/09,10-Jun,93,4.21,2100,
Rcap-,6,1,2009,3/9/09,10-Jun,93,2.8,2100,
Rcap-,7,1,2009,3/9/09,10-Jun,93,3.5,2100,Andy took blood
Rcap-,8,1,2009,3/9/09,10-Jun,93,2.89,2100,Andy took blood
Rcap-,9,3,2009,3/9/09,10-Jun,93,2.46,2100,
Rcap-,10,3,2009,3/9/09,10-Jun,93,4.3,2100,Andy took blood
Rcap-,11,3,2009,3/9/09,10-Jun,93,4.48,2100,Andy took blood
Rcap-,12,3,2009,3/9/09,10-Jun,93,3.31,2100,
Rcap-,13,3,2009,3/9/09,10-Jun,93,2.19,2100,
Rcap-,14,3,2009,3/9/09,10-Jun,93,4.92,2100,
Rcap-,15,1,2009,3/9/09,11-Jun,94,3.85,2100,
Rcap-,16,1,2009,3/9/09,11-Jun,94,4.93,2100,
Rcap-,17,1,2009,3/9/09,11-Jun,94,3.82,2100,
Rcap-,18,1,2009,3/9/09,11-Jun,94,4.64,2100,Andy took blood
Rcap-,19,2,2009,3/9/09,11-Jun,94,2.52,2100,
Rcap-,20,2,2009,3/9/09,11-Jun,94,2.4,2100,
Rcap-,21,3,2009,3/9/09,11-Jun,94,3.51,2100,
Rcap-,22,3,2009,3/9/09,11-Jun,94,4.54,2100,Andy took blood
Rcap-,23,3,2009,3/9/09,11-Jun,94,2.74,2100,Andy took blood
Rcap-,24,3,2009,3/9/09,11-Jun,94,3.45,2100,
Rcap-,25,3,2009,3/9/09,11-Jun,94,3.29,2100,
Rcap-,26,3,2009,3/9/09,11-Jun,94,2.92,2100,
Rcap-,27,3,2009,3/9/09,11-Jun,94,4.13,2100,
Rcap-,28,1,2009,3/9/09,12-Jun,95,4.24,2100,"Andy took blood, died after 24 h."
