Species,AnimalID#,clutch,date eggs hatched,tank,stocking density,Year,Date.stocked,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments,date.alpha.tag.was.inserted
Rcap-,1758,na,2/25/13,1,100,2013,3/7/13,6/4/13,89,3.05,2500,first metamorph of 2013!,not applicable
Rcap-,1776,na,2/25/13,1,100,2013,3/7/13,6/9/13,94,3.606,2500,,not applicable
Rcap-,1777,na,2/25/13,1,100,2013,3/7/13,6/9/13,94,3.738,2500,,not applicable
Rcap-,1778,na,2/25/13,1,100,2013,3/7/13,6/9/13,94,5.603,2500,,not applicable
Rcap-,1799,na,2/25/13,1,100,2013,3/7/13,6/11/13,96,4.475,2500,,not applicable
Rcap-,1800,na,2/25/13,1,100,2013,3/7/13,6/11/13,96,3.302,2500,,not applicable
Rcap-,1801,na,2/25/13,1,100,2013,3/7/13,6/11/13,96,3.72,2500,,not applicable
Rcap-,1802,na,2/25/13,1,100,2013,3/7/13,6/11/13,96,3.69,2500,,not applicable
Rcap-,1803,na,2/25/13,1,100,2013,3/7/13,6/11/13,96,5.08,2500,,not applicable
Rcap-,1804,na,2/25/13,1,100,2013,3/7/13,6/11/13,96,5.11,2500,,not applicable
Rcap-,1805,na,2/25/13,1,s,2013,3/7/13,6/11/13,96,4.56,2500,,not applicable
Rcap-,1862,na,2/25/13,1,100,2013,3/7/13,6/12/13,97,4.86,2500,,not applicable
Rcap-,1883,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,4.36,2500,,not applicable
Rcap-,1884,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,4.36,2500,,not applicable
Rcap-,1885,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,3.12,2500,,not applicable
Rcap-,1886,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,3.5,2500,,not applicable
Rcap-,1887,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,4.03,2500,,not applicable
Rcap-,1888,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,3.31,2500,,not applicable
Rcap-,1889,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,3.35,2500,,not applicable
Rcap-,1890,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,3.17,2500,,not applicable
Rcap-,1891,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,3.48,2500,,not applicable
Rcap-,1892,na,2/25/13,1,100,2013,3/7/13,6/14/13,99,3.97,2500,,not applicable
