ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and Time,Observer,Other - Observer,Facility,Other - Facility,Tank,Other - Tank,Mass,Mark,Notes,x,y
1,c76cf63b-6349-4ac6-97b9-b3be231f9d39,6/7/2024 3:09:43 PM,vkinney_USG,6/7/2024 3:09:43 PM,vkinney_USG,6/7/2024 3:08:00 PM,Vanessa Terrell,,UGA,,8,,4.61,,,-83.3577867318721,33.8907907018754
2,c3c90feb-9199-44a2-9106-671e036a8f35,6/7/2024 3:10:29 PM,vkinney_USG,6/7/2024 3:10:29 PM,vkinney_USG,6/7/2024 3:10:00 PM,Vanessa Terrell,,UGA,,8,,3.17,,,-83.3577104421059,33.8907861064793
3,b0a364d0-9aea-45d2-8d2b-fb906a58b995,6/7/2024 3:11:18 PM,vkinney_USG,6/7/2024 3:11:18 PM,vkinney_USG,6/7/2024 3:11:00 PM,Vanessa Terrell,,UGA,,12,,5.39,,,-83.3577179312226,33.8907840847763
4,9893210e-f402-4d7f-84b7-48abc4c1aacc,6/7/2024 3:12:03 PM,vkinney_USG,6/7/2024 3:12:03 PM,vkinney_USG,6/7/2024 3:11:00 PM,Vanessa Terrell,,UGA,,12,,5.23,,,-83.3576600469518,33.8908091340143
5,b4122128-b89a-4706-92ed-2f13816093de,6/7/2024 3:12:59 PM,vkinney_USG,6/7/2024 3:12:59 PM,vkinney_USG,6/7/2024 3:12:00 PM,Vanessa Terrell,,UGA,,12,,3.93,,,-83.3577085149448,33.8907870868056
6,5bad164a-f79a-4855-bfe1-8f385173b203,6/7/2024 3:13:35 PM,vkinney_USG,6/7/2024 3:13:35 PM,vkinney_USG,6/7/2024 3:13:00 PM,Vanessa Terrell,,UGA,,12,,4.42,,,-83.3576886545671,33.8907835740014
7,073f363d-72e2-4cf0-ac0a-6766bca42349,6/7/2024 3:14:11 PM,vkinney_USG,6/7/2024 3:14:11 PM,vkinney_USG,6/7/2024 3:13:00 PM,Vanessa Terrell,,UGA,,12,,3.78,,,-83.3576769489692,33.890804779307
8,4e8a39d4-86a3-42bb-ae5c-602882aab287,6/7/2024 3:14:46 PM,vkinney_USG,6/7/2024 3:14:46 PM,vkinney_USG,6/7/2024 3:14:00 PM,Vanessa Terrell,,UGA,,12,,4.45,,,-83.3576967202613,33.890790580041
9,4aaaf388-477d-45d9-bc0c-b1c41e54c5c4,6/7/2024 3:15:24 PM,vkinney_USG,6/7/2024 3:15:24 PM,vkinney_USG,6/7/2024 3:15:00 PM,Vanessa Terrell,,UGA,,12,,4.7,,,-83.3576786815394,33.890809101466
10,94ceaa78-a3be-49b3-9f70-7c4e73cff0e0,6/10/2024 12:57:14 PM,vkinney_USG,6/10/2024 12:57:14 PM,vkinney_USG,6/10/2024 12:56:00 PM,Vanessa Terrell,,UGA,,22,,5.16,,,-83.3576874324778,33.8907286952467
11,a61900b8-1a9b-405b-bf49-85f048b968cc,6/10/2024 12:58:21 PM,vkinney_USG,6/10/2024 12:58:21 PM,vkinney_USG,6/10/2024 12:57:00 PM,Vanessa Terrell,,UGA,,12,,4.95,,,-83.3576780101829,33.8907526633262
12,8476f110-caeb-4789-9f6c-5167bbefee2b,6/10/2024 12:59:00 PM,vkinney_USG,6/10/2024 12:59:00 PM,vkinney_USG,6/10/2024 12:58:00 PM,Vanessa Terrell,,UGA,,12,,4.04,,,-83.3576909479361,33.8907651358878
13,4e020308-9d82-475c-b10d-46098a2684b6,6/10/2024 12:59:58 PM,vkinney_USG,6/10/2024 12:59:58 PM,vkinney_USG,6/10/2024 12:59:00 PM,Vanessa Terrell,,UGA,,12,,4.43,,,-83.3576909479361,33.8907651358878
14,f98f2ade-b260-4825-a37f-c9411e2cf258,6/10/2024 1:00:29 PM,vkinney_USG,6/10/2024 1:00:29 PM,vkinney_USG,6/10/2024 1:00:00 PM,Vanessa Terrell,,UGA,,12,,4.63,,,-83.3576655283054,33.8907400437146
15,150f60c7-5edd-4859-a27f-213e89e7a2e7,6/10/2024 1:00:57 PM,vkinney_USG,6/10/2024 1:00:57 PM,vkinney_USG,6/10/2024 1:00:00 PM,Vanessa Terrell,,UGA,,12,,4.02,,,-83.3576785690747,33.8907582452696
