Animal ID,,Clutch.ID,Tank.ID,Date.eggs.hatched,Year,Stocking.density,Date.stocked,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments
Rcap-,811,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.1,B22,nsa (6/20/11)
Rcap-,812,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,4.25,B25,
Rcap-,813,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,4.51,B26,
Rcap-,814,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.96,B27,
Rcap-,815,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.69,B28,
Rcap-,816,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.27,B29,
Rcap-,817,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.51,B30,
Rcap-,818,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.35,B31,
Rcap-,819,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,2.74,B33,*B32 was not used
Rcap-,820,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.08,B34,
Rcap-,821,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.63,B35,
Rcap-,822,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.22,B36,
Rcap-,823,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.33,B37,
Rcap-,824,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.73,B00,new skin applied (nsa)
Rcap-,825,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,2.45,B01,new skin applied (nsa)
Rcap-,826,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.56,B02,new skin applied (nsa)
Rcap-,827,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,2.74,B03,no newskin
Rcap-,828,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.73,B04,no newskin
Rcap-,829,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.7,2300,did not use
Rcap-,830,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.29,B05,no newskin
Rcap-,831,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,2.76,B06,nsa
Rcap-,832,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,3.93,B07,"nsa, high on thigh"
Rcap-,833,Rcap1,1,2/25/11,2011,100,3/11/11,6/2/11,,2.8,B08,"no newsking, at knee"
Rcap-,853,Rcap1,1,2/25/11,2011,100,3/11/11,6/3/11,,4.13,B45,B44 was last
Rcap-,854,Rcap1,1,2/25/11,2011,100,3/11/11,6/3/11,,4.14,B46,
Rcap-,855,Rcap1,1,2/25/11,2011,100,3/11/11,6/3/11,,3.43,B47,
Rcap-,856,Rcap1,1,2/25/11,2011,100,3/11/11,6/3/11,,3.52,B48,small tail remaining
