Species,Animal ID,clutch,date eggs hatched,tank density,tank,Year,Date stocked,Date.metamorphosed,Days to metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments,date alpha tag was inserted,,PENS,CLIP
Rcap-,1447,1,3/6/12,105,1,2012,3/22/12,6/1/12,,4.55,,dead? See notes,,,,
Rcap-,1448,1,3/6/12,105,1,2012,3/22/12,6/4/12,,3.99,,,,,burrow 2*,
Rcap-,1449,1,3/6/12,105,1,2012,3/22/12,6/4/12,,2.89,,,,,burrow 3,
Rcap-,1450,1,3/6/12,105,1,2012,3/22/12,6/4/12,,3.93,,,,,26,5000
Rcap-,1454,1,3/6/12,105,1,2012,3/22/12,6/6/12,,3.93,,,,,burrow 2*,
Rcap-,1455,1,3/6/12,105,1,2012,3/22/12,6/6/12,,4.53,,,,,32,240
Rcap-,1456,1,3/6/12,105,1,2012,3/22/12,6/6/12,,3.47,,,,,18,520
Rcap-,1468,1,3/6/12,105,1,2012,3/22/12,6/11/12,,3.19,,,,,burrow 6,
Rcap-,1469,1,3/6/12,105,1,2012,3/22/12,6/11/12,,3.78,,,,,burrow 3*,
Rcap-,1470,1,3/6/12,105,1,2012,3/22/12,6/11/12,,3.44,,,,,17,540
Rcap-,1471,1,3/6/12,105,1,2012,3/22/12,6/11/12,,3.46,,,,,17,4500
Rcap-,1472,1,3/6/12,105,1,2012,3/22/12,6/11/12,,3.08,,,,,burrow 5,
Rcap-,1473,1,3/6/12,105,1,2012,3/22/12,6/11/12,,3.34,,,,,,
Rcap-,1474,1,3/6/12,105,1,2012,3/22/12,6/11/12,,3.12,,,,,10,303
Rcap-,1475,1,3/6/12,105,1,2012,3/22/12,6/11/12,,3.69,,,,,23,400
Rcap-,1476,1,3/6/12,105,1,2012,3/22/12,6/11/12,,4.1,,,,,28,1003
Rcap-,1477,1,3/6/12,105,1,2012,3/22/12,6/11/12,,3.42,,,,,,
Rcap-,1507,1,3/6/12,105,1,2012,3/22/12,6/12/12,,4.51,,,,,32,240
Rcap-,1508,1,3/6/12,105,1,2012,3/22/12,6/12/12,,2.49,,,,,1,130
Rcap-,1509,1,3/6/12,105,1,2012,3/22/12,6/12/12,,3.65,,,,,22,200
Rcap-,1511,1,3/6/12,105,1,2012,3/22/12,6/14/12,,3.1,,,,,10,303
Rcap-,1512,1,3/6/12,105,1,2012,3/22/12,6/14/12,,3.71,,,,,24,500
