Species,AnimalID#,Clutch.ID,Date.eggs.hatched,Tank.ID,Stocking.density,Year,Date.stocked,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments,date.alpha.tag.was.inserted
Rcap-,2716,NA,2/25/13,3,100,2013,3/7/13,8/4/13,150,8.55,2500,,not applicable
Rcap-,2717,NA,2/25/13,3,100,2013,3/7/13,8/4/13,150,8.6,2500,,not applicable
Rcap-,2715,NA,2/25/13,3,100,2013,3/7/13,8/1/13,147,7.04,2500,,not applicable
Rcap-,2711,NA,2/25/13,3,100,2013,3/7/13,7/29/13,144,5.96,2500,,not applicable
Rcap-,2712,NA,2/25/13,3,100,2013,3/7/13,7/29/13,144,7.74,2500,,not applicable
Rcap-,2713,NA,2/25/13,9,100,2013,3/7/13,7/29/13,144,10.4,2500,still has a small tail,not applicable
Rcap-,2714,NA,2/25/13,10,100,2013,3/7/13,7/29/13,144,7.04,2500,,not applicable
Rcap-,2708,NA,2/25/13,1,100,2013,3/7/13,7/24/13,139,7.04,2500,,not applicable
Rcap-,2709,NA,2/25/13,3,100,2013,3/7/13,7/24/13,139,8.51,2500,,not applicable
Rcap-,2710,NA,2/25/13,5,100,2013,3/7/13,7/24/13,139,8.95,2500,,not applicable
Rcap-,2695,NA,2/25/13,3,100,2013,3/7/13,7/22/13,137,4.24,2500,,not applicable
Rcap-,2696,NA,2/25/13,3,100,2013,3/7/13,7/22/13,137,5.76,2500,,not applicable
Rcap-,2697,NA,2/25/13,3,100,2013,3/7/13,7/22/13,137,6.24,2500,,not applicable
Rcap-,2698,NA,2/25/13,3,100,2013,3/7/13,7/22/13,137,5.64,2500,,not applicable
Rcap-,2699,NA,2/25/13,3,100,2013,3/7/13,7/22/13,137,5.14,2500,,not applicable
Rcap-,2700,NA,2/25/13,3,100,2013,3/7/13,7/22/13,137,5.36,2500,,not applicable
Rcap-,2701,NA,2/25/13,3,100,2013,3/7/13,7/22/13,137,5.54,2500,,not applicable
Rcap-,2702,NA,2/25/13,3,100,2013,3/7/13,7/22/13,137,5.15,2500,,not applicable
Rcap-,2703,NA,2/25/13,4,100,2013,3/7/13,7/22/13,137,5.76,2500,,not applicable
Rcap-,2704,NA,2/25/13,4,100,2013,3/7/13,7/22/13,137,8.07,2500,,not applicable
Rcap-,2705,NA,2/25/13,5,100,2013,3/7/13,7/22/13,137,7.53,2500,,not applicable
Rcap-,2706,NA,2/25/13,5,100,2013,3/7/13,7/22/13,137,7.99,2500,,not applicable
Rcap-,2707,NA,2/25/13,8,100,2013,3/7/13,7/22/13,137,3.21,2500,,not applicable
Rcap-,2693,NA,2/25/13,2,100,2013,3/7/13,7/19/13,134,6.98,2500,,not applicable
Rcap-,2694,NA,2/25/13,2,100,2013,3/7/13,7/19/13,134,7.06,2500,,not applicable
Rcap-,2692,NA,2/25/13,3,100,2013,3/7/13,7/19/13,134,5.78,2500,,not applicable
Rcap-,2691,NA,2/25/13,9,100,2013,3/7/13,7/19/13,134,6.66,2500,"bleeding from operculum flap, checked on it had died",not applicable
Rcap-,2683,NA,2/25/13,2,100,2013,3/7/13,7/17/13,132,6.19,2500,,not applicable
Rcap-,2684,NA,2/25/13,2,100,2013,3/7/13,7/17/13,132,6.03,2500,,not applicable
Rcap-,2685,NA,2/25/13,2,100,2013,3/7/13,7/17/13,132,7.88,2500,,not applicable
Rcap-,2686,NA,2/25/13,3,100,2013,3/7/13,7/17/13,132,5.43,2500,,not applicable
Rcap-,2687,NA,2/25/13,5,100,2013,3/7/13,7/17/13,132,5.87,2500,,not applicable
Rcap-,2688,NA,2/25/13,5,100,2013,3/7/13,7/17/13,132,4.91,2500,,not applicable
Rcap-,2689,NA,2/25/13,6,100,2013,3/7/13,7/17/13,132,6,2500,,not applicable
Rcap-,2690,NA,2/25/13,8,100,2013,3/7/13,7/17/13,132,7.7,2500,,not applicable
Rcap-,2671,NA,2/25/13,1,100,2013,3/7/13,7/15/13,130,5.32,2500,,not applicable
Rcap-,2672,NA,2/25/13,1,100,2013,3/7/13,7/15/13,130,6,2500,,not applicable
Rcap-,2679,NA,2/25/13,2,100,2013,3/7/13,7/15/13,130,5.94,2500,,not applicable
Rcap-,2681,NA,2/25/13,3,100,2013,3/7/13,7/15/13,130,4.73,2500,,not applicable
Rcap-,2682,NA,2/25/13,4,100,2013,3/7/13,7/15/13,130,5.05,2500,,not applicable
Rcap-,2676,NA,2/25/13,5,100,2013,3/7/13,7/15/13,130,5.72,2500,,not applicable
Rcap-,2677,NA,2/25/13,5,100,2013,3/7/13,7/15/13,130,5.69,2500,,not applicable
Rcap-,2678,NA,2/25/13,5,100,2013,3/7/13,7/15/13,130,5.6,2500,,not applicable
Rcap-,2673,NA,2/25/13,6,100,2013,3/7/13,7/15/13,130,6.56,2500,,not applicable
Rcap-,2674,NA,2/25/13,6,100,2013,3/7/13,7/15/13,130,7.05,2500,,not applicable
Rcap-,2675,NA,2/25/13,6,100,2013,3/7/13,7/15/13,130,3.81,2500,,not applicable
Rcap-,2680,NA,2/25/13,10,100,2013,3/7/13,7/15/13,130,6.9,2500,,not applicable
Rcap-,2667,NA,2/25/13,2,100,2013,3/7/13,7/12/13,127,6.75,2500,,not applicable
Rcap-,2668,NA,2/25/13,3,100,2013,3/7/13,7/12/13,127,3.56,2500,,not applicable
Rcap-,2669,NA,2/25/13,3,100,2013,3/7/13,7/12/13,127,4.15,2500,,not applicable
Rcap-,2670,NA,2/25/13,4,100,2013,3/7/13,7/12/13,127,5.16,2500,,not applicable
Rcap-,2661,NA,2/25/13,1,100,2013,3/7/13,7/11/13,126,4.2,2500,,not applicable
Rcap-,2662,NA,2/25/13,4,100,2013,3/7/13,7/11/13,126,5.33,2500,,not applicable
Rcap-,2663,NA,2/25/13,5,100,2013,3/7/13,7/11/13,126,5.96,2500,,not applicable
Rcap-,2664,NA,2/25/13,6,100,2013,3/7/13,7/11/13,126,5.66,2500,,not applicable
Rcap-,2665,NA,2/25/13,8,100,2013,3/7/13,7/11/13,126,7.17,2500,,not applicable
Rcap-,2666,NA,2/25/13,10,100,2013,3/7/13,7/11/13,126,6.29,2500,,not applicable
Rcap-,2652,NA,2/25/13,1,100,2013,3/7/13,7/9/13,124,5.57,2500,,not applicable
Rcap-,2653,NA,2/25/13,1,100,2013,3/7/13,7/9/13,124,5.43,2500,,not applicable
Rcap-,2654,NA,2/25/13,1,100,2013,3/7/13,7/9/13,124,6.29,2500,,not applicable
Rcap-,2655,NA,2/25/13,1,100,2013,3/7/13,7/9/13,124,5.85,2500,,not applicable
Rcap-,2656,NA,2/25/13,2,100,2013,3/7/13,7/9/13,124,6.39,2500,,not applicable
Rcap-,2657,NA,2/25/13,2,100,2013,3/7/13,7/9/13,124,5.64,2500,,not applicable
Rcap-,2658,NA,2/25/13,3,100,2013,3/7/13,7/9/13,124,4.3,2500,,not applicable
Rcap-,2659,NA,2/25/13,3,100,2013,3/7/13,7/9/13,124,4.17,2500,,not applicable
Rcap-,2660,NA,2/25/13,4,100,2013,3/7/13,7/9/13,124,5.02,2500,,not applicable
Rcap-,2632,NA,2/25/13,2,100,2013,3/7/13,7/7/13,122,4.75,2500,,not applicable
Rcap-,2633,NA,2/25/13,4,100,2013,3/7/13,7/7/13,122,4.37,2500,,not applicable
Rcap-,2634,NA,2/25/13,4,100,2013,3/7/13,7/7/13,122,4.03,2500,,not applicable
Rcap-,2635,NA,2/25/13,4,100,2013,3/7/13,7/7/13,122,5.21,2500,,not applicable
Rcap-,2636,NA,2/25/13,4,100,2013,3/7/13,7/7/13,122,3.9,2500,,not applicable
Rcap-,2637,NA,2/25/13,4,100,2013,3/7/13,7/7/13,122,4.06,2500,,not applicable
Rcap-,2638,NA,2/25/13,5,100,2013,3/7/13,7/7/13,122,5.68,2500,,not applicable
Rcap-,2639,NA,2/25/13,5,100,2013,3/7/13,7/7/13,122,4.65,2500,,not applicable
Rcap-,2640,NA,2/25/13,5,100,2013,3/7/13,7/7/13,122,5.18,2500,,not applicable
Rcap-,2641,NA,2/25/13,6,100,2013,3/7/13,7/7/13,122,7.49,2500,monster frog!,not applicable
Rcap-,2642,NA,2/25/13,8,100,2013,3/7/13,7/7/13,122,6.43,2500,,not applicable
Rcap-,2643,NA,2/25/13,8,100,2013,3/7/13,7/7/13,122,5.32,2500,,not applicable
Rcap-,2644,NA,2/25/13,9,100,2013,3/7/13,7/7/13,122,6.95,2500,,not applicable
Rcap-,2645,NA,2/25/13,10,100,2013,3/7/13,7/7/13,122,5.72,2500,,not applicable
Rcap-,2646,NA,2/25/13,10,100,2013,3/7/13,7/7/13,122,5.12,2500,,not applicable
Rcap-,2647,NA,2/25/13,10,100,2013,3/7/13,7/7/13,122,5.64,2500,,not applicable
Rcap-,2648,NA,2/25/13,10,100,2013,3/7/13,7/7/13,122,5.75,2500,,not applicable
Rcap-,2649,NA,2/25/13,11,145,2013,3/7/13,7/7/13,122,6.94,2500,,not applicable
Rcap-,2650,NA,2/25/13,11,145,2013,3/7/13,7/7/13,122,7.63,2500,,not applicable
Rcap-,2651,NA,2/25/13,11,145,2013,3/7/13,7/7/13,122,7.35,2500,,not applicable
Rcap-,2618,NA,2/25/13,1,100,2013,3/7/13,7/5/13,120,6.53,2500,whooo! Monster frog!,not applicable
Rcap-,2619,NA,2/25/13,4,100,2013,3/7/13,7/5/13,120,3.85,2500,,not applicable
Rcap-,2620,NA,2/25/13,4,100,2013,3/7/13,7/5/13,120,4.3,2500,,not applicable
