Species,ID_No,Clutch.ID,Date.eggs.hatched,Tank.ID,Stocking.density,Year,Date.stocked,Date.metamorphosed,Mass.g.metamorphosed,Mass_at_meta_g,Mark,Fate.comments,Days.to.metamorphosis
Lcaptio,33,na,3/15/15,1,100,2015,3/25/15,6/12/15,2.67,,,,
Lcaptio,38,na,3/15/15,1,100,2015,3/25/15,6/13/15,NA,,,Dead in tank,
Lcaptio,39,na,3/15/15,1,100,2015,3/25/15,6/13/15,4.13,,,,
Lcaptio,40,na,3/15/15,1,100,2015,3/25/15,6/13/15,4.4,,,,
Lcaptio,41,na,3/15/15,1,100,2015,3/25/15,6/13/15,3.65,,,,
Lcaptio,63,na,3/15/15,1,100,2015,3/25/15,6/14/15,6.03,,,,
Lcaptio,83,na,3/15/15,1,100,2015,3/25/15,6/17/15,4.56,,,,
Lcaptio,84,na,3/15/15,1,100,2015,3/25/15,6/17/15,3.22,,,,
Lcaptio,85,na,3/15/15,1,100,2015,3/25/15,6/17/15,3.18,,,,
Lcaptio,121,na,3/15/15,1,100,2015,3/25/15,6/19/15,3.49,,,,
Lcaptio,122,na,3/15/15,1,100,2015,3/25/15,6/19/15,3.05,,,,
Lcaptio,124,na,3/15/15,1,100,2015,3/25/15,6/20/15,4.6,,,,
Lcaptio,125,na,3/15/15,1,100,2015,3/25/15,6/20/15,4.28,,,,
Lcaptio,126,na,3/15/15,1,100,2015,3/25/15,6/20/15,3.98,,,,
Lcaptio,127,na,3/15/15,1,100,2015,3/25/15,6/20/15,3.13,,,,
Lcaptio,151,na,3/15/15,1,100,2015,3/25/15,6/22/15,3.7,,,,
Lcaptio,152,na,3/15/15,1,100,2015,3/25/15,6/22/15,3.57,,,,
Lcaptio,153,na,3/15/15,1,100,2015,3/25/15,6/22/15,3.43,,,,
Lcaptio,154,na,3/15/15,1,100,2015,3/25/15,6/22/15,3.4,,,,
Lcaptio,155,na,3/15/15,1,100,2015,3/25/15,6/22/15,3.2,,,,
