Species,ID_No,Clutch.ID,Date.eggs.hatched,Stocking.density,Tank.ID,Year,Date.stocked,Date.metamorphosed,Mass.g.metamorphosed,Mark,Fate.comments,Days.to.metamorphosis
Lcapito,1699,NA,2/17/16,60,1,2016,3/5/16,6/13/16,6.52,,,
Lcapito,1846,NA,2/17/16,60,1,2016,3/5/16,6/19/16,5.66,,,
Lcapito,1459,NA,2/17/16,60,1,2016,3/5/16,6/6/16,9.28,,,
Lcapito,1355,NA,2/17/16,60,1,2016,3/5/16,6/5/16,8.53,,,
Lcapito,1268,NA,2/17/16,60,1,2016,3/5/16,6/4/16,7.72,,,
Lcapito,1269,NA,2/17/16,60,1,2016,3/5/16,6/4/16,8.38,,,
Lcapito,1270,NA,2/17/16,60,1,2016,3/5/16,6/4/16,7.15,,,
Lcapito,1193,NA,2/17/16,60,1,2016,3/5/16,6/3/16,9.69,,,
Lcapito,1194,NA,2/17/16,60,1,2016,3/5/16,6/3/16,9.9,,,
Lcapito,1195,NA,2/17/16,60,1,2016,3/5/16,6/3/16,9.62,,,
Lcapito,1196,NA,2/17/16,60,1,2016,3/5/16,6/3/16,N/A,,DEAD,
Lcapito,1197,NA,2/17/16,60,1,2016,3/5/16,6/3/16,N/A,,DEAD,
Lcapito,1198,NA,2/17/16,60,1,2016,3/5/16,6/3/16,N/A,,DEAD,
Lcapito,1008,NA,2/17/16,60,1,2016,3/5/16,6/1/16,8.07,,,
Lcapito,1009,NA,2/17/16,60,1,2016,3/5/16,6/1/16,9.29,,,
Lcapito,1010,NA,2/17/16,60,1,2016,3/5/16,6/1/16,N/A,,DEAD,
Lcapito,1011,NA,2/17/16,60,1,2016,3/5/16,6/1/16,N/A,,DEAD,
Lcapito,1012,NA,2/17/16,60,1,2016,3/5/16,6/1/16,7.73,,,
Lcapito,1013,NA,2/17/16,60,1,2016,3/5/16,6/1/16,8.42,,,
Lcapito,1014,NA,2/17/16,60,1,2016,3/5/16,6/1/16,6.83,,,
Lcapito,1015,NA,2/17/16,60,1,2016,3/5/16,6/1/16,7.96,,,
Lcapito,1016,NA,2/17/16,60,1,2016,3/5/16,6/1/16,8.17,,,
Lcapito,1017,NA,2/17/16,60,1,2016,3/5/16,6/1/16,7.78,,,
Lcapito,1018,NA,2/17/16,60,1,2016,3/5/16,6/1/16,8.88,,,
Lcapito,1019,NA,2/17/16,60,1,2016,3/5/16,6/1/16,9.13,,,
Lcapito,1020,NA,2/17/16,60,1,2016,3/5/16,6/1/16,9.22,,,
Lcapito,1021,NA,2/17/16,60,1,2016,3/5/16,6/1/16,7.8,,,
Lcapito,1022,NA,2/17/16,60,1,2016,3/5/16,6/1/16,7.07,,,
Lcapito,1023,NA,2/17/16,60,1,2016,3/5/16,6/1/16,8.36,,,
Lcapito,1024,NA,2/17/16,60,1,2016,3/5/16,6/1/16,7.05,,,
Lcapito,1025,NA,2/17/16,60,1,2016,3/5/16,6/1/16,7.78,,,
Lcapito,1026,NA,2/17/16,60,1,2016,3/5/16,6/1/16,7.37,,,
Lcapito,1027,NA,2/17/16,60,1,2016,3/5/16,6/1/16,7.34,,,
Lcapito,945,NA,2/17/16,60,1,2016,3/5/16,5/31/16,8.02,,,
Lcapito,946,NA,2/17/16,60,1,2016,3/5/16,5/31/16,7.97,,,
Lcapito,947,NA,2/17/16,60,1,2016,3/5/16,5/31/16,6.41,,,
Lcapito,948,NA,2/17/16,60,1,2016,3/5/16,5/31/16,6.72,,,
Lcapito,949,NA,2/17/16,60,1,2016,3/5/16,5/31/16,6.5,,,
Lcapito,950,NA,2/17/16,60,1,2016,3/5/16,5/31/16,8.22,,,
Lcapito,951,NA,2/17/16,60,1,2016,3/5/16,5/31/16,8.24,,,
Lcapito,952,NA,2/17/16,60,1,2016,3/5/16,5/31/16,8.85,,,
Lcapito,953,NA,2/17/16,60,1,2016,3/5/16,5/31/16,7.42,,,
Lcapito,954,NA,2/17/16,60,1,2016,3/5/16,5/31/16,7.94,,,
Lcapito,955,NA,2/17/16,60,1,2016,3/5/16,5/31/16,7.04,,,
Lcapito,956,NA,2/17/16,60,1,2016,3/5/16,5/31/16,10.17,,,
Lcapito,905,NA,2/17/16,60,1,2016,3/5/16,5/30/16,9.92,,DEAD,
Lcapito,906,NA,2/17/16,60,1,2016,3/5/16,5/30/16,10.05,,DEAD,
Lcapito,907,NA,2/17/16,60,1,2016,3/5/16,5/30/16,8.53,,,
Lcapito,891,NA,2/17/16,60,1,2016,3/5/16,5/29/16,8.32,,chunky,
Lcapito,1033,NA,2/17/16,50,2,2016,3/5/16,6/1/16,6.78,,,
Lcapito,1675,NA,2/17/16,50,2,2016,3/5/16,6/12/16,6.62,,,
Lcapito,1603,NA,2/17/16,50,2,2016,3/5/16,6/10/16,8.68,,small tail,
Lcapito,1604,NA,2/17/16,50,2,2016,3/5/16,6/10/16,8.09,,small tail,
Lcapito,1565,NA,2/17/16,50,2,2016,3/5/16,6/9/16,7.85,,small tail,
Lcapito,1535,NA,2/17/16,50,2,2016,3/5/16,6/8/16,9.47,,small tail,
Lcapito,1536,NA,2/17/16,50,2,2016,3/5/16,6/8/16,6.41,,small tail,
Lcapito,1537,NA,2/17/16,50,2,2016,3/5/16,6/8/16,7.56,,,
Lcapito,1453,NA,2/17/16,50,2,2016,3/5/16,6/6/16,7.28,,,
Lcapito,1454,NA,2/17/16,50,2,2016,3/5/16,6/6/16,8.67,,,
Lcapito,1455,NA,2/17/16,50,2,2016,3/5/16,6/6/16,7.49,,,
Lcapito,1456,NA,2/17/16,50,2,2016,3/5/16,6/6/16,5.93,,,
Lcapito,1457,NA,2/17/16,50,2,2016,3/5/16,6/6/16,7.44,,,
Lcapito,1458,NA,2/17/16,50,2,2016,3/5/16,6/6/16,8.6,,,
Lcapito,1465,NA,2/17/16,50,2,2016,3/5/16,6/6/16,N/A,,DEAD,
Lcapito,1350,NA,2/17/16,50,2,2016,3/5/16,6/5/16,N/A,,DEAD,
Lcapito,1351,NA,2/17/16,50,2,2016,3/5/16,6/5/16,N/A,,DEAD,
Lcapito,1352,NA,2/17/16,50,2,2016,3/5/16,6/5/16,7.66,,,
Lcapito,1353,NA,2/17/16,50,2,2016,3/5/16,6/5/16,7.28,,,
Lcapito,1354,NA,2/17/16,50,2,2016,3/5/16,6/5/16,7.76,,,
Lcapito,1385,NA,2/17/16,50,2,2016,3/5/16,6/5/16,N/A,,DEAD,
Lcapito,1289,NA,2/17/16,50,2,2016,3/5/16,6/4/16,6.94,,,
Lcapito,1303,NA,2/17/16,50,2,2016,3/5/16,6/4/16,6.28,,,
Lcapito,1304,NA,2/17/16,50,2,2016,3/5/16,6/4/16,9,,,
Lcapito,1305,NA,2/17/16,50,2,2016,3/5/16,6/4/16,8.94,,,
Lcapito,1306,NA,2/17/16,50,2,2016,3/5/16,6/4/16,7.15,,,
Lcapito,1307,NA,2/17/16,50,2,2016,3/5/16,6/4/16,8.73,,,
Lcapito,1308,NA,2/17/16,50,2,2016,3/5/16,6/4/16,6.67,,,
Lcapito,1199,NA,2/17/16,50,2,2016,3/5/16,6/3/16,7.46,,,
Lcapito,1200,NA,2/17/16,50,2,2016,3/5/16,6/3/16,6.97,,,
Lcapito,1201,NA,2/17/16,50,2,2016,3/5/16,6/3/16,7.81,,,
Lcapito,1202,NA,2/17/16,50,2,2016,3/5/16,6/3/16,7.93,,,
Lcapito,1203,NA,2/17/16,50,2,2016,3/5/16,6/3/16,8.14,,,
Lcapito,1204,NA,2/17/16,50,2,2016,3/5/16,6/3/16,N/A,,DEAD,
Lcapito,1205,NA,2/17/16,50,2,2016,3/5/16,6/3/16,N/A,,DEAD,
Lcapito,1206,NA,2/17/16,50,2,2016,3/5/16,6/3/16,N/A,,DEAD,
Lcapito,1207,NA,2/17/16,50,2,2016,3/5/16,6/3/16,N/A,,DEAD,
Lcapito,1208,NA,2/17/16,50,2,2016,3/5/16,6/3/16,N/A,,DEAD,
Lcapito,1209,NA,2/17/16,50,2,2016,3/5/16,6/3/16,N/A,,DEAD,
Lcapito,1210,NA,2/17/16,50,2,2016,3/5/16,6/3/16,N/A,,DEAD,
Lcapito,1211,NA,2/17/16,50,2,2016,3/5/16,6/3/16,N/A,,DEAD,
Lcapito,1107,NA,2/17/16,50,2,2016,3/5/16,6/2/16,7.34,,,
Lcapito,1108,NA,2/17/16,50,2,2016,3/5/16,6/2/16,7.72,,,
Lcapito,1109,NA,2/17/16,50,2,2016,3/5/16,6/2/16,4.9,,,
Lcapito,1110,NA,2/17/16,50,2,2016,3/5/16,6/2/16,7.11,,,
Lcapito,1111,NA,2/17/16,50,2,2016,3/5/16,6/2/16,7.58,,,
Lcapito,1034,NA,2/17/16,50,2,2016,3/5/16,6/1/16,6.92,,,
Lcapito,1035,NA,2/17/16,50,2,2016,3/5/16,6/1/16,7.02,,,
Lcapito,892,NA,2/17/16,50,2,2016,3/5/16,5/29/16,4.91,,,
Lcapito,898,NA,2/17/16,50,2,2016,3/5/16,5/29/16,10.1,,DEAD,
Lcapito,1190,NA,2/17/16,50,3,2016,3/5/16,6/3/16,7.67,,,
Lcapito,1605,NA,2/17/16,50,3,2016,3/5/16,6/10/16,4.87,,,
Lcapito,1606,NA,2/17/16,50,3,2016,3/5/16,6/10/16,6.55,,,
Lcapito,1607,NA,2/17/16,50,3,2016,3/5/16,6/10/16,6.82,,,
Lcapito,1566,NA,2/17/16,50,3,2016,3/5/16,6/9/16,5.6,,,
Lcapito,1567,NA,2/17/16,50,3,2016,3/5/16,6/9/16,6.91,,small tail,
Lcapito,1568,NA,2/17/16,50,3,2016,3/5/16,6/9/16,6.57,,,
Lcapito,1511,NA,2/17/16,50,3,2016,3/5/16,6/7/16,5.61,,,
Lcapito,1512,NA,2/17/16,50,3,2016,3/5/16,6/7/16,5.94,,,
Lcapito,1513,NA,2/17/16,50,3,2016,3/5/16,6/7/16,6.83,,,
Lcapito,1514,NA,2/17/16,50,3,2016,3/5/16,6/7/16,5.59,,,
Lcapito,1515,NA,2/17/16,50,3,2016,3/5/16,6/7/16,6.73,,,
Lcapito,1516,NA,2/17/16,50,3,2016,3/5/16,6/7/16,5.62,,,
Lcapito,1517,NA,2/17/16,50,3,2016,3/5/16,6/7/16,7.53,,,
Lcapito,1518,NA,2/17/16,50,3,2016,3/5/16,6/7/16,5.67,,,
Lcapito,1460,NA,2/17/16,50,3,2016,3/5/16,6/6/16,5.37,,,
Lcapito,1461,NA,2/17/16,50,3,2016,3/5/16,6/6/16,6.79,,,
Lcapito,1462,NA,2/17/16,50,3,2016,3/5/16,6/6/16,7.36,,,
Lcapito,1463,NA,2/17/16,50,3,2016,3/5/16,6/6/16,7,,,
Lcapito,1464,NA,2/17/16,50,3,2016,3/5/16,6/6/16,5.95,,,
Lcapito,1466,NA,2/17/16,50,3,2016,3/5/16,6/6/16,5.66,,,
Lcapito,1467,NA,2/17/16,50,3,2016,3/5/16,6/6/16,6.28,,,
Lcapito,1468,NA,2/17/16,50,3,2016,3/5/16,6/6/16,7.67,,,
Lcapito,1469,NA,2/17/16,50,3,2016,3/5/16,6/6/16,6.45,,,
Lcapito,1470,NA,2/17/16,50,3,2016,3/5/16,6/6/16,7.53,,,
Lcapito,1471,NA,2/17/16,50,3,2016,3/5/16,6/6/16,7.61,,,
Lcapito,1356,NA,2/17/16,50,3,2016,3/5/16,6/5/16,7.53,,,
Lcapito,1357,NA,2/17/16,50,3,2016,3/5/16,6/5/16,6.64,,,
Lcapito,1358,NA,2/17/16,50,3,2016,3/5/16,6/5/16,6.67,,,
Lcapito,1359,NA,2/17/16,50,3,2016,3/5/16,6/5/16,6.75,,,
Lcapito,1360,NA,2/17/16,50,3,2016,3/5/16,6/5/16,6.44,,,
Lcapito,1262,NA,2/17/16,50,3,2016,3/5/16,6/4/16,7.01,,,
Lcapito,1263,NA,2/17/16,50,3,2016,3/5/16,6/4/16,6.88,,,
Lcapito,1185,NA,2/17/16,50,3,2016,3/5/16,6/3/16,7.51,,,
Lcapito,1186,NA,2/17/16,50,3,2016,3/5/16,6/3/16,6.8,,,
Lcapito,1187,NA,2/17/16,50,3,2016,3/5/16,6/3/16,7.47,,,
Lcapito,1188,NA,2/17/16,50,3,2016,3/5/16,6/3/16,8.42,,,
Lcapito,1189,NA,2/17/16,50,3,2016,3/5/16,6/3/16,8.66,,,
Lcapito,1191,NA,2/17/16,50,3,2016,3/5/16,6/3/16,8.29,,,
Lcapito,1192,NA,2/17/16,50,3,2016,3/5/16,6/3/16,7.74,,,
Lcapito,1098,NA,2/17/16,50,3,2016,3/5/16,6/2/16,8.08,,,
Lcapito,1099,NA,2/17/16,50,3,2016,3/5/16,6/2/16,7.3,,,
Lcapito,1100,NA,2/17/16,50,3,2016,3/5/16,6/2/16,7.03,,,
Lcapito,944,NA,2/17/16,50,3,2016,3/5/16,5/31/16,6.58,,,
Lcapito,1267,NA,2/17/16,50,4,2016,3/5/16,6/4/16,8.23,,,
Lcapito,1519,NA,2/17/16,50,4,2016,3/5/16,6/7/16,6.22,,,
Lcapito,1520,NA,2/17/16,50,4,2016,3/5/16,6/7/16,7.32,,,
Lcapito,1472,NA,2/17/16,50,4,2016,3/5/16,6/6/16,7.48,,,
Lcapito,1473,NA,2/17/16,50,4,2016,3/5/16,6/6/16,7.43,,,
Lcapito,1474,NA,2/17/16,50,4,2016,3/5/16,6/6/16,6.97,,,
Lcapito,1475,NA,2/17/16,50,4,2016,3/5/16,6/6/16,6.99,,,
Lcapito,1476,NA,2/17/16,50,4,2016,3/5/16,6/6/16,6.98,,,
Lcapito,1365,NA,2/17/16,50,4,2016,3/5/16,6/5/16,5.84,,,
Lcapito,1366,NA,2/17/16,50,4,2016,3/5/16,6/5/16,7.05,,,
Lcapito,1367,NA,2/17/16,50,4,2016,3/5/16,6/5/16,7.5,,,
Lcapito,1368,NA,2/17/16,50,4,2016,3/5/16,6/5/16,8.98,,,
Lcapito,1369,NA,2/17/16,50,4,2016,3/5/16,6/5/16,8,,,
Lcapito,1370,NA,2/17/16,50,4,2016,3/5/16,6/5/16,7.31,,,
Lcapito,1264,NA,2/17/16,50,4,2016,3/5/16,6/4/16,8.67,,,
Lcapito,1265,NA,2/17/16,50,4,2016,3/5/16,6/4/16,8.31,,,
Lcapito,1266,NA,2/17/16,50,4,2016,3/5/16,6/4/16,6.79,,,
Lcapito,1175,NA,2/17/16,50,4,2016,3/5/16,6/3/16,8.43,,,
Lcapito,1176,NA,2/17/16,50,4,2016,3/5/16,6/3/16,7.57,,,
Lcapito,1177,NA,2/17/16,50,4,2016,3/5/16,6/3/16,7.23,,,
Lcapito,1178,NA,2/17/16,50,4,2016,3/5/16,6/3/16,7.67,,,
Lcapito,1179,NA,2/17/16,50,4,2016,3/5/16,6/3/16,8.93,,,
Lcapito,1180,NA,2/17/16,50,4,2016,3/5/16,6/3/16,9.16,,,
Lcapito,1181,NA,2/17/16,50,4,2016,3/5/16,6/3/16,9.15,,,
Lcapito,1182,NA,2/17/16,50,4,2016,3/5/16,6/3/16,9.11,,,
Lcapito,1183,NA,2/17/16,50,4,2016,3/5/16,6/3/16,7.62,,,
Lcapito,1184,NA,2/17/16,50,4,2016,3/5/16,6/3/16,9.5,,,
Lcapito,1046,NA,2/17/16,50,4,2016,3/5/16,6/1/16,8.22,,,
Lcapito,1047,NA,2/17/16,50,4,2016,3/5/16,6/1/16,6.8,,,
Lcapito,1048,NA,2/17/16,50,4,2016,3/5/16,6/1/16,8.17,,,
Lcapito,1049,NA,2/17/16,50,4,2016,3/5/16,6/1/16,7.2,,,
Lcapito,1050,NA,2/17/16,50,4,2016,3/5/16,6/1/16,8.23,,,
Lcapito,1051,NA,2/17/16,50,4,2016,3/5/16,6/1/16,7.27,,,
Lcapito,1052,NA,2/17/16,50,4,2016,3/5/16,6/1/16,8.84,,,
Lcapito,1053,NA,2/17/16,50,4,2016,3/5/16,6/1/16,7.54,,,
Lcapito,1054,NA,2/17/16,50,4,2016,3/5/16,6/1/16,7.72,,,
