Species,ID_No,Clutch.ID,Date.eggs.hatched,Stocking.density,Tank.ID,Year,Date.stocked,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments,Mortality,Facility
Lcapito,164,FL2,2/17/17,63,1,2017,3/1/17,5/29/17,,4.34,,,,UGA
Lcapito,165,FL2,2/17/17,63,1,2017,3/1/17,5/29/17,,5.96,,,,UGA
Lcapito,166,FL2,2/17/17,63,1,2017,3/1/17,5/29/17,,4.27,,,,UGA
Lcapito,167,FL2,2/17/17,63,1,2017,3/1/17,5/29/17,,4.79,,,,UGA
Lcapito,168,FL2,2/17/17,63,1,2017,3/1/17,5/29/17,,5.95,,0.5 cm tail,,UGA
Lcapito,169,FL2,2/17/17,63,1,2017,3/1/17,5/29/17,,5.65,,,,UGA
Lcapito,170,FL2,2/17/17,63,1,2017,3/1/17,5/29/17,,5.5,,,,UGA
Lcapito,171,FL2,2/17/17,63,1,2017,3/1/17,5/29/17,,5.77,,,,UGA
Lcapito,172,FL2,2/17/17,63,1,2017,3/1/17,5/29/17,,6.24,,,,UGA
Lcapito,259,FL2,2/17/17,63,1,2017,3/1/17,5/30/17,,5.75,,,,UGA
Lcapito,260,FL2,2/17/17,63,1,2017,3/1/17,5/30/17,,6.11,,,,UGA
Lcapito,261,FL2,2/17/17,63,1,2017,3/1/17,5/30/17,,5.54,,,,UGA
Lcapito,262,FL2,2/17/17,63,1,2017,3/1/17,5/30/17,,6.18,,1 cm tail bud (frog not in cup when marked),,UGA
Lcapito,302,FL2,2/17/17,63,1,2017,3/1/17,5/31/17,,5.25,,,,UGA
Lcapito,303,FL2,2/17/17,63,1,2017,3/1/17,5/31/17,,5.52,,1 cm tail,,UGA
Lcapito,304,FL2,2/17/17,63,1,2017,3/1/17,5/31/17,,5.36,,1 cm tail,,UGA
Lcapito,305,FL2,2/17/17,63,1,2017,3/1/17,5/31/17,,5.02,,,,UGA
