Species,ID_No,Stocking.density,Tank.ID,Year,Date.metamorphosed,Mass.g.metamorphosed,Mark,Fate.comments,Mortality,Facility,Days.to.metamorphosis,Date.eggs.hatched,Clutch.ID,Date.stocked
Lcapito,933,50,1,2018,6/26/18,6.74,,12mm tail,,UGA,,NA,NA,NA
Lcapito,921,50,1,2018,6/25/18,5.74,,,,UGA,,NA,NA,NA
Lcapito,915,50,1,2018,6/24/18,6,,,,UGA,,NA,NA,NA
Lcapito,909,50,1,2018,6/23/18,6.23,,8mm tail,,UGA,,NA,NA,NA
Lcapito,901,50,1,2018,6/22/18,4.62,,,,UGA,,NA,NA,NA
Lcapito,902,50,1,2018,6/22/18,5.85,,,,UGA,,NA,NA,NA
Lcapito,892,50,1,2018,6/21/18,5.6,,6mm tail,,UGA,,NA,NA,NA
Lcapito,884,50,1,2018,6/20/18,4.42,,,,UGA,,NA,NA,NA
Lcapito,885,50,1,2018,6/20/18,6.34,,8mm tail,,UGA,,NA,NA,NA
Lcapito,886,50,1,2018,6/20/18,6.19,,,,UGA,,NA,NA,NA
Lcapito,887,50,1,2018,6/20/18,5.53,,6mm tail,,UGA,,NA,NA,NA
Lcapito,877,50,1,2018,6/19/18,4.42,,,,UGA,,NA,NA,NA
Lcapito,878,50,1,2018,6/19/18,5.51,,,,UGA,,NA,NA,NA
Lcapito,879,50,1,2018,6/19/18,6,,,,UGA,,NA,NA,NA
Lcapito,880,50,1,2018,6/19/18,4.43,,,,UGA,,NA,NA,NA
Lcapito,867,50,1,2018,6/18/18,6.07,,,,UGA,,NA,NA,NA
Lcapito,868,50,1,2018,6/18/18,5.84,,,,UGA,,NA,NA,NA
Lcapito,869,50,1,2018,6/18/18,6.61,,,,UGA,,NA,NA,NA
Lcapito,870,50,1,2018,6/18/18,5.04,,,,UGA,,NA,NA,NA
Lcapito,871,50,1,2018,6/18/18,5.68,,,,UGA,,NA,NA,NA
Lcapito,872,50,1,2018,6/18/18,5.54,,,,UGA,,NA,NA,NA
Lcapito,873,50,1,2018,6/18/18,5.42,,,,UGA,,NA,NA,NA
Lcapito,874,50,1,2018,6/18/18,4.42,,11mm tail,,UGA,,NA,NA,NA
Lcapito,875,50,1,2018,6/18/18,5.98,,10mm tail,,UGA,,NA,NA,NA
Lcapito,876,50,1,2018,6/18/18,5.57,,,,UGA,,NA,NA,NA
Lcapito,857,50,1,2018,6/17/18,5.63,,,,UGA,,NA,NA,NA
Lcapito,858,50,1,2018,6/17/18,4.73,,,,UGA,,NA,NA,NA
Lcapito,851,50,1,2018,6/16/18,4.28,,,,UGA,,NA,NA,NA
Lcapito,852,50,1,2018,6/16/18,4.28,,,,UGA,,NA,NA,NA
Lcapito,853,50,1,2018,6/16/18,4.72,,,,UGA,,NA,NA,NA
Lcapito,854,50,1,2018,6/16/18,4.8,,,,UGA,,NA,NA,NA
Lcapito,855,50,1,2018,6/16/18,4.99,,,,UGA,,NA,NA,NA
Lcapito,842,50,1,2018,6/14/18,4.66,,,,UGA,,NA,NA,NA
Lcapito,843,50,1,2018,6/14/18,3.88,,,,UGA,,NA,NA,NA
Lcapito,844,50,1,2018,6/14/18,4.82,,15mm tail,,UGA,,NA,NA,NA
Lcapito,845,50,1,2018,6/14/18,5.04,,,,UGA,,NA,NA,NA
Lcapito,846,50,1,2018,6/14/18,4.87,,,,UGA,,NA,NA,NA
Lcapito,847,50,1,2018,6/14/18,6.61,,,,UGA,,NA,NA,NA
Lcapito,848,50,1,2018,6/14/18,6.59,,,,UGA,,NA,NA,NA
Lcapito,840,50,1,2018,6/13/18,5.99,,,,UGA,,NA,NA,NA
Lcapito,841,50,1,2018,6/13/18,4.96,,,,UGA,,NA,NA,NA
Lcapito,950,50,2,2018,7/4/18,4.63,,,,UGA,,NA,NA,NA
Lcapito,948,50,2,2018,7/2/18,5.73,,,,UGA,,NA,NA,NA
Lcapito,944,50,2,2018,6/30/18,5.89,,,,UGA,,NA,NA,NA
Lcapito,938,50,2,2018,6/28/18,6.46,,,,UGA,,NA,NA,NA
Lcapito,939,50,2,2018,6/28/18,5.04,,,,UGA,,NA,NA,NA
Lcapito,930,50,2,2018,6/26/18,5.4,,,,UGA,,NA,NA,NA
Lcapito,931,50,2,2018,6/26/18,4.73,,,,UGA,,NA,NA,NA
Lcapito,924,50,2,2018,6/25/18,4.74,,,,UGA,,NA,NA,NA
Lcapito,925,50,2,2018,6/25/18,6.51,,,,UGA,,NA,NA,NA
Lcapito,926,50,2,2018,6/25/18,5.48,,,,UGA,,NA,NA,NA
Lcapito,927,50,2,2018,6/25/18,4.58,,,,UGA,,NA,NA,NA
Lcapito,928,50,2,2018,6/25/18,5.51,,,,UGA,,NA,NA,NA
Lcapito,916,50,2,2018,6/24/18,4.67,,,,UGA,,NA,NA,NA
Lcapito,913,50,2,2018,6/23/18,5.97,,6mm tail,,UGA,,NA,NA,NA
Lcapito,914,50,2,2018,6/23/18,4.7,,5mm tail,,UGA,,NA,NA,NA
Lcapito,903,50,2,2018,6/22/18,5.02,,3mm tail,,UGA,,NA,NA,NA
Lcapito,904,50,2,2018,6/22/18,5.57,,,,UGA,,NA,NA,NA
Lcapito,905,50,2,2018,6/22/18,5.56,,5mm tail,,UGA,,NA,NA,NA
Lcapito,906,50,2,2018,6/22/18,4.33,,2mm tail,,UGA,,NA,NA,NA
Lcapito,907,50,2,2018,6/22/18,5.03,,,,UGA,,NA,NA,NA
Lcapito,908,50,2,2018,6/22/18,5.97,,6mm tail,,UGA,,NA,NA,NA
Lcapito,894,50,2,2018,6/21/18,5.28,,10mm tail,,UGA,,NA,NA,NA
Lcapito,895,50,2,2018,6/21/18,5.16,,4mm tail,,UGA,,NA,NA,NA
Lcapito,896,50,2,2018,6/21/18,4.56,,,,UGA,,NA,NA,NA
Lcapito,897,50,2,2018,6/21/18,5.85,,5mm tail,,UGA,,NA,NA,NA
Lcapito,898,50,2,2018,6/21/18,3.72,,,,UGA,,NA,NA,NA
Lcapito,888,50,2,2018,6/20/18,4.54,,,,UGA,,NA,NA,NA
Lcapito,889,50,2,2018,6/20/18,4.81,,15mm tail,,UGA,,NA,NA,NA
Lcapito,890,50,2,2018,6/20/18,4.26,,,,UGA,,NA,NA,NA
Lcapito,891,50,2,2018,6/20/18,4.81,,10mm tail,,UGA,,NA,NA,NA
Lcapito,859,50,2,2018,6/18/18,5.36,,,,UGA,,NA,NA,NA
Lcapito,860,50,2,2018,6/18/18,4.57,,,,UGA,,NA,NA,NA
Lcapito,861,50,2,2018,6/18/18,3.93,,,,UGA,,NA,NA,NA
Lcapito,862,50,2,2018,6/18/18,4.58,,,,UGA,,NA,NA,NA
Lcapito,863,50,2,2018,6/18/18,3.99,,,,UGA,,NA,NA,NA
Lcapito,864,50,2,2018,6/18/18,4.36,,,,UGA,,NA,NA,NA
Lcapito,865,50,2,2018,6/18/18,4.35,,,,UGA,,NA,NA,NA
Lcapito,866,50,2,2018,6/18/18,3.93,,,,UGA,,NA,NA,NA
Lcapito,849,50,2,2018,6/14/18,4.56,,,,UGA,,NA,NA,NA
Lcapito,850,50,2,2018,6/14/18,4.44,,,,UGA,,NA,NA,NA
Lcapito,899,45,3,2018,NA,6.28,,3mm tail,,UGA,,NA,NA,NA
Lcapito,946,45,3,2018,NA,6.02,,,,UGA,,NA,NA,NA
Lcapito,947,45,3,2018,NA,5.95,,,,UGA,,NA,NA,NA
