Species,ID_No,Clutch.ID,Date.eggs.hatched,Stocking.density,Tank.ID,Date.stocked,Year,Date.metamorphosed,Days.to.metamorphosis,Mass.g.metamorphosed,Mark,Fate.comments,Mortality,Facility
Rcapito,246,gf1,2/16/19,50,4,2/27/19,2019,5/30/19,,5.98, ,NDF, ,UGA
Rcapito,247,gf1,2/16/19,50,4,2/27/19,2019,5/30/19,,6.82, ,NDF,dead 6/4,UGA
Rcapito,248,gf1,2/16/19,50,4,2/27/19,2019,5/30/19,,6.31, ,NDF, ,UGA
Rcapito,250,gf1,2/16/19,50,4,2/27/19,2019,5/30/19,,8.85, ,NDF, ,UGA
Rcapito,251,gf1,2/16/19,50,4,2/27/19,2019,5/30/19,,3.74, ,NDF, ,UGA
Rcapito,253,gf1,2/16/19,50,4,2/27/19,2019,5/30/19,,5.98, ,NDF,dead 6/1,UGA
Rcapito,254,gf1,2/16/19,50,4,2/27/19,2019,5/30/19,,5.85, ,NDF, ,UGA
Rcapito,257,gf1,2/16/19,50,4,2/27/19,2019,5/30/19,,5.3, ,NDF,dead 5/31,UGA
Rcapito,258,gf1,2/16/19,50,4,2/27/19,2019,5/30/19,,5.31, ,NDF,dead 5/30,UGA
Rcapito,375,gf1,2/16/19,50,4,2/27/19,2019,6/1/19,,4.94, ,NDF, ,UGA
Rcapito,400,gf1,2/16/19,50,4,2/27/19,2019,6/21/19,,5.32, ,NDF, ,UGA
Rcapito,401,gf1,2/16/19,50,4,2/27/19,2019,6/21/19,,4.69, ,NDF, ,UGA
Rcapito,499,gf1,2/16/19,50,4,2/27/19,2019,6/3/19,,4.64,,NDF,,UGA
Rcapito,501,gf1,2/16/19,50,4,2/27/19,2019,6/3/19,,5.01,,NDF,,UGA
Rcapito,604,gf1,2/16/19,50,4,2/27/19,2019,6/4/19,,4.97,,NDF,,UGA
Rcapito,606,gf1,2/16/19,50,4,2/27/19,2019,6/4/19,,4.08,,NDF,,UGA
Rcapito,659,gf1,2/16/19,50,4,2/27/19,2019,6/5/19,,6.67,,NDF,DEAD 6/6,UGA
Rcapito,966,gf1,2/16/19,50,4,2/27/19,2019,6/12/19,,3.07,,NDF,,UGA
Rcapito,605,gf1,2/16/19,50,4,2/27/19,2019,6/4/19,,5.19,,"NDF ""RANA VIRUS?""",,UGA
Rcapito,372,gf1,2/16/19,50,4,2/27/19,2019,6/1/19,,4.61, ,NDF 0.25 CM TAIL,DEAD 6/2,UGA
Rcapito,374,gf1,2/16/19,50,4,2/27/19,2019,6/1/19,,5.05, ,NDF 0.5 CM TAIL,DEAD 6/4,UGA
Rcapito,255,gf1,2/16/19,50,4,2/27/19,2019,5/30/19,,5.25, ,NDF GILL,dead 5/30,UGA
Rcapito,749,gf1,2/16/19,50,4,2/27/19,2019,6/7/19,,4.21,,NDF GILL,,UGA
Rcapito,249,gf1,2/16/19,50,4,2/27/19,2019,5/30/19,,5.31, ,NDF NE, ,UGA
Rcapito,256,gf1,2/16/19,50,4,2/27/19,2019,5/30/19,,6.09, ,NDF NE,dead 5/31,UGA
Rcapito,399,gf1,2/16/19,50,4,2/27/19,2019,6/21/19,,4.44, ,NDF NE, ,UGA
Rcapito,402,gf1,2/16/19,50,4,2/27/19,2019,6/21/19,,5.82, ,NDF NE, ,UGA
Rcapito,500,gf1,2/16/19,50,4,2/27/19,2019,6/3/19,,5.2,,NDF NE,EUTHANIZED 6/4,UGA
Rcapito,502,gf1,2/16/19,50,4,2/27/19,2019,6/3/19,,4.97,,NDF NE,,UGA
Rcapito,658,gf1,2/16/19,50,4,2/27/19,2019,6/5/19,,4.41,,NDF NE,,UGA
Rcapito,883,gf1,2/16/19,50,4,2/27/19,2019,6/10/19,,4.57,,NDF NE,,UGA
Rcapito,252,gf1,2/16/19,50,4,2/27/19,2019,5/30/19,,3.68, ,"NDF NE ""sickly""",found dead 7/3,UGA
Rcapito,373,gf1,2/16/19,50,4,2/27/19,2019,6/1/19,,4.45, ,NDF NE GILL 1CM TAIL, ,UGA
Rcapito,914,gf1,2/16/19,50,4,2/27/19,2019,6/11/19,,5.26,,,,UGA
Rcapito,982,gf1,2/16/19,50,4,2/27/19,2019,6/12/19,,3.88,,,,UGA
Rcapito,1002,gf1,2/16/19,50,4,2/27/19,2019,6/13/19,,4.62,,,,UGA
Rcapito,1094,gf1,2/16/19,50,4,2/27/19,2019,6/17/19,,4.51,,,,UGA
Rcapito,1209,gf1,2/16/19,50,4,2/27/19,2019,6/20/19,,5.28,,,,UGA
Rcapito,912,gf2,2/16/19,50,5,2/27/19,2019,6/10/19,,4.34,,GILL,,UGA
Rcapito,240,gf2,2/16/19,50,5,2/27/19,2019,5/30/19,,6.13, ,NDF, ,UGA
Rcapito,269,gf2,2/16/19,50,5,2/27/19,2019,5/31/19,,4.33, ,NDF, ,UGA
Rcapito,270,gf2,2/16/19,50,5,2/27/19,2019,5/31/19,,5.21, ,NDF, ,UGA
Rcapito,377,gf2,2/16/19,50,5,2/27/19,2019,6/1/19,,5.14, ,NDF, ,UGA
Rcapito,386,gf2,2/16/19,50,5,2/27/19,2019,6/21/19,,3.99, ,NDF, ,UGA
Rcapito,516,gf2,2/16/19,50,5,2/27/19,2019,6/3/19,,4.41,,NDF,,UGA
Rcapito,517,gf2,2/16/19,50,5,2/27/19,2019,6/3/19,,4.25,,NDF,,UGA
Rcapito,518,gf2,2/16/19,50,5,2/27/19,2019,6/3/19,,4.41,,NDF,,UGA
Rcapito,519,gf2,2/16/19,50,5,2/27/19,2019,6/3/19,,4.91,,NDF,,UGA
Rcapito,520,gf2,2/16/19,50,5,2/27/19,2019,6/3/19,,5.14,,NDF,,UGA
Rcapito,521,gf2,2/16/19,50,5,2/27/19,2019,6/3/19,,5.03,,NDF,,UGA
Rcapito,522,gf2,2/16/19,50,5,2/27/19,2019,6/3/19,,5.13,,NDF,,UGA
Rcapito,523,gf2,2/16/19,50,5,2/27/19,2019,6/3/19,,4.55,,NDF,,UGA
Rcapito,524,gf2,2/16/19,50,5,2/27/19,2019,6/3/19,,5.51,,NDF,,UGA
Rcapito,525,gf2,2/16/19,50,5,2/27/19,2019,6/3/19,,4.91,,NDF,,UGA
Rcapito,526,gf2,2/16/19,50,5,2/27/19,2019,6/3/19,,4.96,,NDF,,UGA
Rcapito,527,gf2,2/16/19,50,5,2/27/19,2019,6/3/19,,4.51,,NDF,,UGA
Rcapito,528,gf2,2/16/19,50,5,2/27/19,2019,6/3/19,,5.37,,NDF,,UGA
