Species,Species.ID,Tank.ID,Mass.g.metamorphosed,Date.metamorphosed,Date.eggs.hatched,Clutch.ID,Stocking.density,Date.stocked,Days.to.metamorphosis,Fate.comments,Year
Rcapito,80,1,4.31,6/20/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,81,1,4.02,6/20/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,101,1,3.72,6/22/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,102,1,4.63,6/22/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,103,1,4.81,6/22/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,104,1,3.64,6/22/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,293,1,3.69,6/26/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,294,1,4.61,6/26/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,295,1,3.68,6/26/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,296,1,4.21,6/26/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,297,1,3.25,6/26/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,298,1,3.36,6/26/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,391,1,3.43,6/28/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,392,1,4.13,6/28/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,393,1,3.93,6/28/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,394,1,3.65,6/28/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,402,1,4.48,6/28/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,434,1,3.06,6/30/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,435,1,3.38,6/30/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,539,1,3.18,7/2/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,540,1,2.6,7/2/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,542,1,3.47,7/2/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,543,1,3.23,7/2/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,629,1,2.81,7/4/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,630,1,3.02,7/4/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,631,1,3.36,7/4/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,714,1,3.09,7/2/20,2/12/20,Rcap1,50,2/20/20,,"pulled w/tail, weighed 7/4/20",2020
Rcapito,771,1,3.5,7/6/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,870,1,3.74,7/10/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,875,1,4.76,7/10/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,878,1,4.87,7/12/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,879,1,3.6,7/12/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,913,1,4.49,7/14/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,1002,1,4.79,7/20/20,2/12/20,Rcap1,50,2/20/20,,weighed on 7/22/20,2020
Rcapito,1006,1,4.04,7/20/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,1025,1,4.46,7/24/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,398,2,6.04,6/28/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,399,2,5.69,6/28/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,436,2,4.93,6/30/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,437,2,4.46,6/30/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,693,2,5.33,7/4/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,715,2,5.32,7/2/20,2/12/20,Rcap1,50,2/20/20,,"messed up back legs, pulled w/tail, weighed 7/4/20",2020
Rcapito,82,3,6.75,6/20/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,83,3,6.98,6/20/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,100,3,6.39,6/20/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,105,3,5.65,6/22/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,106,3,6.75,6/22/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,107,3,7.39,6/22/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,196,3,5.99,6/24/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,197,3,5.39,6/24/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,198,3,5.38,6/24/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,199,3,7.12,6/24/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,276,3,7.04,6/26/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,277,3,5.37,6/26/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,404,3,6.39,6/26/20,2/12/20,Rcap1,50,2/20/20,,"pulled 6/26/20, weighed 6/28/20",2020
Rcapito,405,3,5.3,6/26/20,2/12/20,Rcap1,50,2/20/20,,"pulled 6/26/20, weighed 6/28/20",2020
Rcapito,439,3,5.83,6/30/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,441,3,5.67,6/30/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,548,3,5.29,7/2/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,632,3,4.44,7/4/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,633,3,5.1,7/4/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,634,3,4.31,7/4/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,758,3,5.42,7/6/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,759,3,6.05,7/6/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,760,3,5.22,7/6/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,761,3,5.68,7/6/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,762,3,5.38,7/6/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,782,3,5.95,7/8/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,859,3,5.19,7/12/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,864,3,4.48,7/10/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,871,3,4.75,7/10/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,882,3,4.05,7/12/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,957,3,3.86,7/16/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,973,3,5.79,7/18/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,1033,3,3.82,7/27/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,44,4,5.95,6/16/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,99,4,6.3,6/20/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,108,4,4.49,6/22/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,109,4,5.84,6/22/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,110,4,7.76,6/22/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,111,4,5.42,6/22/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,112,4,7.44,6/22/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,272,4,6.09,6/26/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,273,4,5.69,6/26/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,274,4,6.34,6/26/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,275,4,6.48,6/26/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,400,4,5.8,6/28/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,536,4,4.59,7/2/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,594,4,na,6/30/20,2/12/20,Rcap1,50,2/20/20,,released before weight was taken,2020
Rcapito,595,4,na,6/30/20,2/12/20,Rcap1,50,2/20/20,,released before weight was taken,2020
Rcapito,772,4,5.97,7/6/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,869,4,4.32,7/10/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,872,4,5.39,7/10/20,2/12/20,Rcap1,50,2/20/20,,weighed 7/14/20,2020
Rcapito,873,4,5.09,7/12/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,891,4,4.73,7/16/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,892,4,4.32,7/16/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,903,4,4.32,7/16/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,904,4,4.66,7/14/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,958,4,6.02,7/16/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,1028,4,7.62,7/24/20,2/12/20,Rcap1,50,2/20/20,,,2020
Rcapito,62,5,4.93,6/18/20,2/20/20,W2,60,3/6/20,,,2020
Rcapito,84,5,4.56,6/20/20,2/20/20,W2,60,3/6/20,,,2020
