Species,ID_No,Clutch.ID,Date.eggs.hatched,Stocking.density,Date.stocked,Tank.ID,Year,Date.metamorphosed,Mass.g.metamorphosed,Mark,Fate.comments,Mortality,Facility,Person Entering Data,Date.collected,Days.to.metamorphosis
Rcapito,284,gf1,na,60,3/4/23,1,2023,6/16/24,4.24,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,318,gf1,na,60,3/4/23,1,2023,6/18/24,4.55,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,378,gf1,na,60,3/4/23,1,2023,6/18/24,5.26,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,382,gf1,na,60,3/4/23,1,2023,6/18/24,5.2,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,461,gf1,na,60,3/4/23,1,2023,6/21/24,4.58,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,494,gf1,na,60,3/4/23,1,2023,6/21/24,5.85,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,569,gf1,na,60,3/4/23,1,2023,6/21/24,5.01,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,601,gf1,na,60,3/4/23,1,2023,6/23/24,3.83,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,677,gf1,na,60,3/4/23,1,2023,6/23/24,3.92,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,686,gf1,na,60,3/4/23,1,2023,6/23/24,3.84,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,740,gf1,na,60,3/4/23,1,2023,6/26/24,4.62,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,741,gf1,na,60,3/4/23,1,2023,6/26/24,4.62,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,742,gf1,na,60,3/4/23,1,2023,6/26/24,4.44,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,743,gf1,na,60,3/4/23,1,2023,6/26/24,4.06,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,744,gf1,na,60,3/4/23,1,2023,6/26/24,3.64,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,745,gf1,na,60,3/4/23,1,2023,6/26/24,3.42,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,746,gf1,na,60,3/4/23,1,2023,6/26/24,5.46,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,747,gf1,na,60,3/4/23,1,2023,6/26/24,4.05,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,748,gf1,na,60,3/4/23,1,2023,6/26/24,5.58,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,824,gf1,na,60,3/4/23,1,2023,6/28/24,3.48,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,825,gf1,na,60,3/4/23,1,2023,6/28/24,6.25,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,826,gf1,na,60,3/4/23,1,2023,6/28/24,5.55,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,827,gf1,na,60,3/4/23,1,2023,6/28/24,4.77,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,927,gf1,na,60,3/4/23,1,2023,6/28/24,4.01,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,966,gf1,na,60,3/4/23,1,2023,6/30/24,4.04,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,967,gf1,na,60,3/4/23,1,2023,6/30/24,5.49,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,968,gf1,na,60,3/4/23,1,2023,6/30/24,5.42,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,969,gf1,na,60,3/4/23,1,2023,6/30/24,5.23,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,970,gf1,na,60,3/4/23,1,2023,6/30/24,5.88,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,982,gf1,na,60,3/4/23,1,2023,6/30/24,5.86,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1008,gf1,na,60,3/4/23,1,2023,7/3/24,4.61,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1009,gf1,na,60,3/4/23,1,2023,7/3/24,4.44,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1010,gf1,na,60,3/4/23,1,2023,7/3/24,3.99,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1017,gf1,na,60,3/4/23,1,2023,7/3/24,5.68,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1027,gf1,na,60,3/4/23,1,2023,7/3/24,5.2,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1028,gf1,na,60,3/4/23,1,2023,7/3/24,4,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1029,gf1,na,60,3/4/23,1,2023,7/3/24,3.97,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1053,gf1,na,60,3/4/23,1,2023,7/5/24,5.04,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1054,gf1,na,60,3/4/23,1,2023,7/5/24,5.44,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1086,gf1,na,60,3/4/23,1,2023,7/7/24,3.9,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1089,gf1,na,60,3/4/23,1,2023,7/7/24,5.1,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1090,gf1,na,60,3/4/23,1,2023,7/7/24,4.74,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1092,gf1,na,60,3/4/23,1,2023,7/7/24,4.66,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1094,gf1,na,60,3/4/23,1,2023,7/7/24,4.13,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1133,gf1,na,60,3/4/23,1,2023,7/10/24,4.7,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1138,gf1,na,60,3/4/23,1,2023,7/10/24,4.65,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1145,gf1,na,60,3/4/23,1,2023,7/10/24,5.36,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1156,gf1,na,60,3/4/23,1,2023,7/11/24,5.61,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1157,gf1,na,60,3/4/23,1,2023,7/11/24,4.53,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1158,gf1,na,60,3/4/23,1,2023,7/11/24,3.88,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1163,gf1,na,60,3/4/23,1,2023,7/12/24,5.22,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1171,gf1,na,60,3/4/23,1,2023,7/12/24,5.08,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,31,gf1,na,60,3/4/23,2,2023,6/10/24,3.76,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,32,gf1,na,60,3/4/23,2,2023,6/10/24,4.01,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,163,gf1,na,60,3/4/23,2,2023,6/14/24,6.15,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,238,gf1,na,60,3/4/23,2,2023,6/16/24,5.18,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,279,gf1,na,60,3/4/23,2,2023,6/16/24,4.88,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,280,gf1,na,60,3/4/23,2,2023,6/16/24,4.2,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,281,gf1,na,60,3/4/23,2,2023,6/16/24,2.88,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,418,gf1,na,60,3/4/23,2,2023,6/19/24,4.76,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,419,gf1,na,60,3/4/23,2,2023,6/19/24,4.01,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,425,gf1,na,60,3/4/23,2,2023,6/19/24,4.01,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,430,gf1,na,60,3/4/23,2,2023,6/21/24,3.72,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,431,gf1,na,60,3/4/23,2,2023,6/21/24,4.2,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,432,gf1,na,60,3/4/23,2,2023,6/21/24,3.25,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,446,gf1,na,60,3/4/23,2,2023,6/21/24,3.01,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,472,gf1,na,60,3/4/23,2,2023,6/21/24,3.34,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,476,gf1,na,60,3/4/23,2,2023,6/21/24,3.74,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,526,gf1,na,60,3/4/23,2,2023,6/21/24,3.84,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,527,gf1,na,60,3/4/23,2,2023,6/21/24,3.93,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,528,gf1,na,60,3/4/23,2,2023,6/21/24,4.83,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,529,gf1,na,60,3/4/23,2,2023,6/21/24,3.95,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,530,gf1,na,60,3/4/23,2,2023,6/21/24,4.02,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,531,gf1,na,60,3/4/23,2,2023,6/21/24,4.1,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,558,gf1,na,60,3/4/23,2,2023,6/21/24,4.79,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,559,gf1,na,60,3/4/23,2,2023,6/21/24,4.07,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,567,gf1,na,60,3/4/23,2,2023,6/21/24,3.97,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,568,gf1,na,60,3/4/23,2,2023,6/21/24,3.57,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,581,gf1,na,60,3/4/23,2,2023,6/21/24,4.3,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,587,gf1,na,60,3/4/23,2,2023,6/21/24,5.43,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,697,gf1,na,60,3/4/23,2,2023,6/23/24,4.61,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,749,gf1,na,60,3/4/23,2,2023,6/26/24,3.5,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,750,gf1,na,60,3/4/23,2,2023,6/26/24,4.37,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,810,gf1,na,60,3/4/23,2,2023,6/26/24,3.72,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,812,gf1,na,60,3/4/23,2,2023,6/26/24,3.81,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,912,gf1,na,60,3/4/23,2,2023,6/28/24,3.73,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,915,gf1,na,60,3/4/23,2,2023,6/28/24,4.82,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,917,gf1,na,60,3/4/23,2,2023,6/28/24,4.73,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,958,gf1,na,60,3/4/23,2,2023,6/30/24,4.3,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,959,gf1,na,60,3/4/23,2,2023,6/30/24,4.22,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,980,gf1,na,60,3/4/23,2,2023,6/30/24,3.9,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1019,gf1,na,60,3/4/23,2,2023,7/3/24,4.27,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1020,gf1,na,60,3/4/23,2,2023,7/3/24,5.17,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1032,gf1,na,60,3/4/23,2,2023,7/5/24,4.38,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1034,gf1,na,60,3/4/23,2,2023,7/5/24,3.64,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1047,gf1,na,60,3/4/23,2,2023,7/5/24,5.47,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1055,gf1,na,60,3/4/23,2,2023,7/5/24,5.4,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1131,gf1,na,60,3/4/23,2,2023,7/10/24,4.38,N/A,N/A,N/A,UGA,CE,2/13/23,
Rcapito,1132,gf1,na,60,3/4/23,2,2023,7/10/24,5.42,N/A,N/A,N/A,UGA,CE,2/13/23,
