ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and Time,Observer,Other - Observer,Facility,Other - Facility,Tank.ID,Other - Tank,Mass.g.metamorphosed,Mark,Fate.comments,x,y,Date.metamorphosed,Time,Year,Date.eggs.hatched,Date.stocked,Days.to.metamorphosis,Clutch.ID,Stocking.density
220,b59f0c1f-5747-44f8-8b76-70a3ff26de5c,6/17/24 14:21,vkinney_USG,6/17/24 14:21,vkinney_USG,6/17/24 14:20,Vanessa Terrell,NA,UGA,NA,1,NA,6.2,NA,NA,-83.35769796,33.89079107,6/17/24,14:20:00,2024,NA,3/18/24,,GF4,60
271,a687da55-92dd-4051-a7da-bac24c2f23cb,6/17/24 15:31,vkinney_USG,6/17/24 15:31,vkinney_USG,6/17/24 15:30,Vanessa Terrell,NA,UGA,NA,1,NA,8.35,NA,NA,-83.35768342,33.89079016,6/17/24,15:30:00,2024,NA,3/18/24,,GF4,60
341,63470cfe-6cba-4c20-86bc-c5f9932c0aae,6/19/24 14:13,cjn07548_USG,6/19/24 14:13,cjn07548_USG,6/19/24 13:52,Corrie Navis,NA,UGA,NA,1,NA,6.3,NA,NA,-83.35769368,33.89078352,6/19/24,13:52:00,2024,NA,3/18/24,,GF4,60
342,cdba430e-c91e-4341-9d63-9710d939d855,6/19/24 14:13,cjn07548_USG,6/19/24 14:13,cjn07548_USG,6/19/24 14:12,Corrie Navis,NA,UGA,NA,1,NA,6.53,NA,NA,-83.35768226,33.89080966,6/19/24,14:12:00,2024,NA,3/18/24,,GF4,60
343,9f139d49-7d2e-48b9-96b5-b72fa335b7e8,6/19/24 14:13,cjn07548_USG,6/19/24 14:13,cjn07548_USG,6/19/24 14:13,Corrie Navis,NA,UGA,NA,1,NA,6.71,NA,NA,-83.35774606,33.89083633,6/19/24,14:13:00,2024,NA,3/18/24,,GF4,60
344,a44b623e-2a8e-4f12-beae-634750bc5f5f,6/19/24 14:13,cjn07548_USG,6/19/24 14:13,cjn07548_USG,6/19/24 14:13,Corrie Navis,NA,UGA,NA,1,NA,6.5,NA,NA,-83.35773876,33.89082535,6/19/24,14:13:00,2024,NA,3/18/24,,GF4,60
377,cb6e257b-2d23-4f3c-b6c2-2503f0eccb31,6/19/24 15:04,cjn07548_USG,6/19/24 15:04,cjn07548_USG,6/19/24 15:03,Corrie Navis,NA,UGA,NA,1,NA,6.06,NA,NA,-83.35771006,33.89081846,6/19/24,15:03:00,2024,NA,3/18/24,,GF4,60
474,7d5cd21d-c4cb-4264-9e60-3860e7b7264b,6/21/24 13:02,agc93487_USG,6/21/24 13:02,agc93487_USG,6/21/24 13:02,Andie Crenshaw,NA,UGA,NA,1,NA,5.39,NA,NA,-83.35775383,33.89081388,6/21/24,13:02:00,2024,NA,3/18/24,,GF4,60
475,a4d1d867-6cd8-4770-a2f8-477ae90e0c51,6/21/24 13:03,agc93487_USG,6/21/24 13:03,agc93487_USG,6/21/24 13:02,Andie Crenshaw,NA,UGA,NA,1,NA,5.37,NA,NA,-83.35775383,33.89081388,6/21/24,13:02:00,2024,NA,3/18/24,,GF4,60
476,25ff7d60-1921-428e-b23e-7be2fa06d995,6/21/24 13:03,agc93487_USG,6/21/24 13:03,agc93487_USG,6/21/24 13:03,Andie Crenshaw,NA,UGA,NA,1,NA,4.59,NA,NA,-83.35775383,33.89081388,6/21/24,13:03:00,2024,NA,3/18/24,,GF4,60
