Latitude: 33.8906965  Longitude: -83.3577535,,,,,,,,
X & Y on Lambert Conformal Conic: 1477271.85 -767729.34,,,,,,,,
Tile: 11029,,,,,,,,
Elevation: 193 meters,,,,,,,,
All years; all variables; Daymet Software Version 4.0,,,,,,,,
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129,,,,,,,,
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2019,58,40254.38,0.92,306.58,0,18.93,9.78,1209.4
2019,59,40378.48,6.76,134.96,0,15.84,11.02,1313.68
2019,60,40503.12,0.77,206.59,0,19.54,13.91,1588.69
2019,61,40628.28,0.05,323.26,0,20.09,10.89,1302.22
2019,62,40753.93,36.73,259.68,0,18.41,8.79,1130.97
2019,63,40880.04,0,327.9,0,10.43,2.34,722.68
2019,64,41006.58,0,412.45,0,9.64,-1.6,543.13
2019,65,41133.53,0,453.35,0,10.13,-3.29,479.07
2019,66,41260.87,0,491.58,0,15.97,-2.66,502.17
2019,67,41388.56,1.82,387.38,0,14.73,4.61,848.55
2019,68,41516.58,0.41,358.12,0,16.22,7.25,1019.02
2019,69,41644.9,0,429.1,0,21.38,8.76,1129.36
2019,70,41773.51,1.74,426.24,0,21.09,8.65,1120.27
2019,71,41902.37,0,461.22,0,20.75,5.81,922.78
2019,72,42031.47,0,450.1,0,20.01,6.08,940.14
2019,73,42160.77,3.2,338.57,0,23.79,9.1,1155.47
2019,74,42290.25,7.06,297.05,0,21.72,10.64,1280.84
2019,75,42419.9,0,357.59,0,14.19,5.49,902.22
2019,76,42549.68,0,480.12,0,17.19,2.45,728.38
2019,77,42679.58,0,489.61,0,17.7,2.12,711.43
2019,78,42809.57,0,449.24,0,14.81,2.21,716.25
2019,79,42939.63,0,509.37,0,16.98,-0.34,595.65
2019,80,43069.73,0,486.05,0,17.88,2.37,724.37
2019,81,43199.86,0,490.74,0,19.28,2.92,753.08
2019,82,43329.98,0,501.25,0,20.84,3.28,772.45
2019,83,43460.09,0,514.58,0,23.08,3.39,778.95
2019,84,43590.14,3.86,320.83,0,21.87,8.53,1111.43
2019,85,43720.13,0,343.24,0,17.68,8.27,1092.11
2019,86,43850.03,0,410.07,0,16.5,4.88,864.97
2019,87,43979.82,0,529.88,0,20.78,0.71,642.97
2019,88,44109.46,0,529.35,0,24.07,3.02,758.68
2019,89,44238.95,0,453.11,0,24.63,9.51,1187.43
2019,90,44368.25,3.1,274.93,0,17.97,7.39,1028.56
2019,91,44497.35,0,459.29,0,15.88,1.46,678.67
2019,92,44626.21,0,445.85,0,17.52,3.59,789.85
