Latitude: 33.8906965  Longitude: -83.3577535
X & Y on Lambert Conformal Conic: 1477271.85 -767729.34
Tile: 11029
Elevation: 193 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2020,51,39403.50,23.34,140.28,0.00,8.07,3.47,783.07
2020,52,39522.93,0.00,365.39,0.00,9.63,-0.68,581.32
2020,53,39643.12,0.00,450.29,0.00,14.02,-4.09,451.34
2020,54,39764.04,0.59,444.58,0.00,15.51,-1.88,532.15
2020,55,39885.66,39.51,168.37,0.00,10.25,4.56,845.42
2020,56,40007.94,1.88,374.75,0.00,19.10,7.53,1038.45
2020,57,40130.86,0.00,360.09,0.00,15.03,4.63,849.85
2020,58,40254.38,0.00,352.45,0.00,10.70,1.16,664.17
2020,59,40378.48,0.00,411.88,0.00,11.76,-0.70,580.37
2020,60,40503.12,0.00,411.08,0.00,12.85,0.49,632.78
2020,61,40628.28,0.00,477.56,0.00,18.05,-2.67,501.86
2020,62,40753.93,16.11,275.85,0.00,14.17,3.50,784.58
2020,63,40880.04,20.15,269.78,0.00,20.92,10.19,1243.33
2020,64,41006.58,35.45,153.90,0.00,16.08,11.04,1315.24
2020,65,41133.53,20.15,124.60,0.00,11.53,7.76,1054.63
2020,66,41260.87,0.00,361.05,0.00,13.49,4.17,822.70
2020,67,41388.56,0.00,461.14,0.00,15.37,0.50,633.30
2020,68,41516.58,0.00,483.29,0.00,17.02,-0.46,590.51
2020,69,41644.90,0.00,485.55,0.00,20.79,2.03,707.10
2020,70,41773.51,0.29,330.07,0.00,19.35,10.39,1259.69
2020,71,41902.37,4.48,306.25,0.00,22.85,10.35,1256.10
2020,72,42031.47,0.00,354.79,0.00,22.02,12.22,1421.89
2020,73,42160.77,0.00,325.96,0.00,24.54,15.53,1763.48
2020,74,42290.25,0.00,353.65,0.00,21.61,12.08,1409.26
2020,75,42419.90,0.89,348.65,0.00,19.65,10.65,1281.75
2020,76,42549.68,0.74,150.24,0.00,13.96,10.68,1284.00
2020,77,42679.58,0.00,371.31,0.00,18.99,9.54,1190.24
2020,78,42809.57,5.59,338.42,0.00,23.28,9.60,1194.99
2020,79,42939.63,0.00,443.15,0.00,27.60,13.41,1537.11
2020,80,43069.73,0.32,439.96,0.00,28.39,14.08,1606.24
2020,81,43199.86,0.48,405.16,0.00,25.56,13.54,1550.78
2020,82,43329.98,1.45,239.94,0.00,15.89,10.15,1239.43
2020,83,43460.09,26.53,156.80,0.00,14.36,9.65,1198.88
2020,84,43590.14,21.93,131.23,0.00,15.29,11.53,1358.66
2020,85,43720.13,0.00,435.86,0.00,24.01,11.90,1392.67
2020,86,43850.03,0.00,501.88,0.00,24.63,8.20,1086.59
2020,87,43979.82,0.00,476.42,0.00,29.68,13.82,1578.89
2020,88,44109.46,0.00,459.31,0.00,29.85,15.09,1713.89
2020,89,44238.95,0.00,377.07,0.00,27.58,17.24,1966.60
2020,90,44368.25,0.00,370.40,0.00,24.67,15.09,1714.09
2020,91,44497.35,7.15,280.06,0.00,18.87,10.08,1233.52
2020,92,44626.21,0.00,465.27,0.00,17.02,5.09,877.74
2020,93,44754.81,0.00,545.23,0.00,20.88,2.45,728.55
2020,94,44883.14,0.00,547.49,0.00,25.32,4.81,860.28
2020,95,45011.16,0.00,488.14,0.00,24.72,9.65,1199.00
2020,96,45138.85,0.00,484.53,0.00,26.55,11.22,1331.77
2020,97,45266.19,0.00,502.21,0.00,28.47,11.52,1357.94
2020,98,45393.14,0.00,444.91,0.00,27.04,13.96,1593.61
2020,99,45519.69,1.41,436.22,0.00,27.22,14.74,1676.43
2020,100,45645.80,0.00,404.83,0.00,26.84,15.69,1781.14
2020,101,45771.45,0.00,440.38,0.00,18.88,7.45,1032.61
2020,102,45896.61,0.00,567.23,0.00,21.96,1.22,666.87
2020,103,46021.25,28.73,406.82,0.00,23.05,4.60,848.14
2020,104,46145.35,0.00,455.51,0.00,24.44,11.19,1328.32
2020,105,46268.87,0.00,486.55,0.00,23.79,9.00,1147.29
2020,106,46391.79,0.00,445.84,0.00,20.12,7.53,1038.54
2020,107,46514.07,0.00,533.90,0.00,20.91,3.23,769.79
2020,108,46635.69,0.99,547.81,0.00,22.96,3.60,790.45
2020,109,46756.61,2.47,353.64,0.00,22.95,8.62,1118.07
2020,110,46876.81,42.62,265.32,0.00,14.86,5.80,921.88
2020,111,46996.24,2.08,341.95,0.00,23.42,9.94,1222.33
2020,112,47114.88,0.00,482.97,0.00,24.39,9.28,1169.10
2020,113,47232.70,1.68,485.56,0.00,23.74,8.33,1096.61
2020,114,47349.65,18.91,224.22,0.00,18.66,10.60,1277.52
2020,115,47465.71,0.00,392.41,0.00,23.57,12.15,1415.94
2020,116,47580.84,0.00,474.24,0.00,25.79,10.71,1286.68
2020,117,47695.00,0.00,345.20,0.00,20.39,11.04,1315.66
2020,118,47808.16,0.00,514.57,0.00,24.08,7.31,1022.94
2020,119,47920.28,0.00,530.49,0.00,26.00,7.59,1042.66
2020,120,48031.32,33.34,329.91,0.00,24.09,10.77,1292.49
2020,121,48141.25,0.00,311.22,0.00,17.80,9.46,1183.95
2020,122,48250.02,0.00,491.40,0.00,23.81,8.11,1080.40
2020,123,48357.61,0.00,552.78,0.00,27.42,6.87,992.70
2020,124,48463.96,0.00,519.98,0.00,29.34,10.92,1304.64
2020,125,48569.03,0.00,447.32,0.00,29.66,15.18,1723.86
2020,126,48672.80,0.00,389.21,0.00,28.85,16.97,1933.35
2020,127,48775.21,0.00,479.33,0.00,23.88,9.09,1154.61
2020,128,48876.23,0.00,491.13,0.00,20.60,5.65,912.20
2020,129,48975.81,4.94,315.69,0.00,18.77,6.97,999.51
2020,130,49073.91,0.00,496.93,0.00,19.88,4.69,853.28
2020,131,49170.50,0.00,551.60,0.00,23.18,3.89,806.75
2020,132,49265.52,0.00,446.72,0.00,20.57,7.57,1041.61
2020,133,49358.93,0.00,532.56,0.00,22.16,4.74,856.50
2020,134,49450.70,0.00,495.87,0.00,23.83,8.18,1085.77
2020,135,49540.78,0.00,463.39,0.00,27.25,12.64,1462.13
2020,136,49629.12,0.00,458.11,0.00,27.55,13.11,1507.61
2020,137,49715.69,0.00,488.96,0.00,29.06,12.87,1484.61
2020,138,49800.44,6.68,341.95,0.00,29.52,14.97,1701.67
2020,139,49883.32,30.11,210.54,0.00,24.82,17.10,1949.12
2020,140,49964.30,20.85,266.90,0.00,25.17,15.16,1721.74
2020,141,50043.34,2.91,95.52,0.00,14.77,11.89,1391.36
2020,142,50120.39,0.00,435.15,0.00,23.82,11.55,1361.09
2020,143,50195.40,0.00,465.46,0.00,29.22,14.88,1691.54
2020,144,50268.35,0.00,466.39,0.00,31.37,16.38,1861.42
2020,145,50339.18,16.16,323.27,0.00,32.03,18.40,2115.17
2020,146,50407.86,2.50,268.17,0.00,28.79,18.50,2129.00
2020,147,50474.35,0.94,182.60,0.00,24.41,19.62,2282.24
2020,148,50538.60,1.64,140.89,0.00,23.09,19.64,2284.98
2020,149,50600.59,1.90,347.39,0.00,29.50,19.99,2335.22
2020,150,50660.28,12.84,241.38,0.00,28.66,20.10,2351.83
2020,151,50717.62,0.00,418.09,0.00,30.66,18.62,2145.15
2020,152,50772.58,0.00,467.65,0.00,29.21,15.51,1761.14
2020,153,50825.13,0.00,378.75,0.00,27.64,17.70,2023.81
2020,154,50875.24,0.00,476.41,0.00,29.47,15.75,1788.36
2020,155,50922.87,0.00,473.90,0.00,31.89,17.74,2030.01
2020,156,50967.99,2.48,309.85,0.00,31.17,19.65,2287.55
2020,157,51010.58,3.00,277.55,0.00,29.27,19.60,2279.65
2020,158,51050.60,0.00,392.76,0.00,30.75,20.23,2370.74
2020,159,51088.03,0.00,404.20,0.00,30.90,19.99,2336.31
2020,160,51122.84,4.80,261.58,0.00,30.24,21.30,2531.64
2020,161,51155.02,17.51,277.30,0.00,31.52,21.96,2636.53
2020,162,51184.53,0.90,323.10,0.00,29.85,21.97,2638.10
2020,163,51211.36,0.00,399.57,0.00,30.80,20.72,2443.88
2020,164,51235.50,0.00,443.04,0.00,30.00,18.70,2155.40
2020,165,51256.91,0.00,489.87,0.00,30.24,17.00,1936.44
2020,166,51275.60,10.42,351.10,0.00,28.77,16.85,1918.09
2020,167,51291.54,0.00,459.27,0.00,26.14,15.16,1722.27
2020,168,51304.73,0.00,323.59,0.00,20.91,14.38,1637.41
2020,169,51315.15,0.00,504.79,0.00,24.37,11.98,1399.53
2020,170,51322.80,0.00,502.10,0.00,28.25,15.12,1717.70
2020,171,51327.67,1.43,518.75,0.00,31.52,16.25,1847.12
2020,172,51329.76,0.00,524.46,0.00,32.44,16.40,1864.60
2020,173,51329.07,0.77,518.31,0.00,33.56,17.46,1994.47
2020,174,51325.60,14.96,351.65,0.00,31.39,18.58,2139.57
2020,175,51319.35,3.08,323.98,0.00,30.12,19.08,2207.46
2020,176,51310.33,23.17,285.86,0.00,29.75,20.43,2400.71
2020,177,51298.54,0.00,395.66,0.00,29.66,19.81,2309.98
2020,178,51283.98,0.00,401.04,0.00,30.96,20.56,2420.10
2020,179,51266.68,12.85,319.65,0.00,30.97,19.66,2288.65
2020,180,51246.64,0.00,439.14,0.00,32.37,20.20,2366.49
2020,181,51223.87,0.00,404.55,0.00,33.51,22.38,2705.14
2020,182,51198.40,0.00,427.87,0.00,33.17,21.30,2532.10
2020,183,51170.24,0.00,337.20,0.00,29.32,21.04,2491.67
2020,184,51139.40,0.00,451.80,0.00,33.26,20.48,2406.82
2020,185,51105.92,0.00,457.22,0.00,33.47,20.42,2398.64
2020,186,51069.80,0.00,459.04,0.00,33.73,20.48,2408.17
2020,187,51031.08,0.00,436.56,0.00,33.32,21.05,2493.94
2020,188,50989.79,22.65,258.44,0.00,29.41,20.90,2470.90
2020,189,50945.94,1.56,257.70,0.00,27.98,21.94,2632.87
2020,190,50899.57,0.00,403.00,0.00,31.89,21.28,2528.50
2020,191,50850.71,0.00,378.38,0.00,31.75,21.95,2634.21
2020,192,50799.39,0.61,432.82,0.00,33.70,21.48,2560.08
2020,193,50745.64,0.00,414.25,0.00,32.64,21.33,2536.00
2020,194,50689.49,0.00,472.31,0.00,32.35,18.69,2154.23
2020,195,50630.99,0.00,448.31,0.00,33.45,20.57,2421.10
2020,196,50570.16,0.00,477.44,0.00,35.08,20.29,2380.09
2020,197,50507.04,0.00,476.35,0.00,35.39,20.42,2398.28
2020,198,50441.67,0.00,438.89,0.00,34.36,21.27,2527.75
2020,199,50374.09,0.00,448.31,0.00,35.41,21.58,2575.98
2020,200,50304.34,0.00,425.68,0.00,35.25,22.44,2714.43
2020,201,50232.46,0.00,457.81,0.00,35.99,21.55,2571.80
2020,202,50158.48,0.00,466.09,0.00,36.83,21.68,2592.42
2020,203,50082.45,29.02,337.13,0.00,35.48,21.62,2582.60
2020,204,50004.41,0.00,442.22,0.00,33.80,20.74,2445.88
2020,205,49924.41,0.00,442.87,0.00,34.44,21.11,2503.13
2020,206,49842.48,0.00,410.64,0.00,32.80,21.07,2496.93
2020,207,49758.66,20.02,325.48,0.00,33.87,20.89,2468.93
2020,208,49673.01,0.00,461.90,0.00,34.18,19.77,2304.37
2020,209,49585.55,0.00,443.20,0.00,35.22,21.31,2533.06
