PRISM Time Series Data
Location:  Lat: 33.8907   Lon: -83.3578   Elev: 640ft
"Climate variables: ppt,tmin,tmean,tmax,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2024-03-14 - 2024-08-14
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2025-Mar-20
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmin (degrees F),tmean (degrees F),tmax (degrees F),vpdmin (hPa),vpdmax (hPa)
2024-03-14,0.00,39.5,57.4,75.3,0.83,22.00
2024-03-15,0.01,44.4,62.6,80.7,0.82,23.10
2024-03-16,0.04,55.0,63.5,71.9,0.62,8.52
2024-03-17,0.00,52.8,64.2,75.6,0.71,17.25
2024-03-18,0.01,47.3,58.3,69.3,1.31,13.39
2024-03-19,0.00,32.3,46.3,60.2,2.00,12.81
2024-03-20,0.00,32.4,46.6,60.9,2.43,15.10
2024-03-21,0.00,39.0,56.2,73.4,1.32,19.86
2024-03-22,0.00,43.9,60.8,77.6,1.29,23.58
2024-03-23,1.29,53.4,57.1,60.7,0.20,4.68
2024-03-24,0.00,37.5,53.5,69.5,0.27,13.23
2024-03-25,0.00,39.6,51.4,63.2,2.47,14.54
2024-03-26,0.00,42.3,51.7,61.2,1.74,11.73
2024-03-27,1.05,50.1,57.1,64.0,0.26,5.17
2024-03-28,0.00,49.0,61.4,73.7,0.18,17.63
2024-03-29,0.00,38.1,55.0,71.9,1.45,21.96
2024-03-30,0.00,39.8,55.9,71.9,1.90,21.34
2024-03-31,0.00,45.2,61.1,76.9,2.36,23.63
2024-04-01,0.00,51.4,65.3,79.3,2.06,19.10
2024-04-02,0.00,61.4,69.0,76.5,1.20,12.24
2024-04-03,1.41,63.1,72.0,80.9,0.47,18.18
2024-04-04,0.00,42.8,54.2,65.6,1.86,15.02
2024-04-05,0.00,37.6,50.4,63.2,0.79,14.17
2024-04-06,0.00,34.5,49.2,63.9,0.57,13.71
2024-04-07,0.00,37.0,52.0,67.0,0.59,16.17
2024-04-08,0.00,43.4,57.9,72.4,0.95,18.84
2024-04-09,0.24,49.3,63.0,76.7,0.31,18.50
2024-04-10,0.32,56.1,58.7,61.2,0.34,2.45
2024-04-11,0.71,58.1,67.2,76.3,0.29,12.71
2024-04-12,0.03,50.6,64.4,78.2,0.69,16.82
2024-04-13,0.00,43.7,56.6,69.5,1.87,18.56
2024-04-14,0.00,45.7,61.2,76.8,0.93,25.21
2024-04-15,0.00,49.5,67.3,85.1,1.13,30.66
2024-04-16,0.00,54.8,69.7,84.6,1.32,27.92
2024-04-17,0.00,58.4,71.1,83.9,1.39,25.61
2024-04-18,0.00,56.7,69.1,81.6,0.64,19.43
2024-04-19,0.00,59.5,73.7,88.0,0.78,30.41
2024-04-20,0.02,64.3,75.1,85.8,0.72,21.52
2024-04-21,0.46,56.9,70.5,84.0,0.49,19.77
2024-04-22,0.79,45.8,54.1,62.3,0.33,5.22
2024-04-23,0.00,40.3,53.7,67.2,0.27,14.67
2024-04-24,0.00,43.2,58.1,72.9,0.51,18.16
2024-04-25,0.00,49.1,62.9,76.6,0.42,16.70
2024-04-26,0.00,53.1,66.2,79.4,0.94,23.98
2024-04-27,0.00,55.5,67.5,79.4,0.41,18.64
2024-04-28,0.00,54.4,65.3,76.2,0.25,12.98
2024-04-29,0.00,52.1,65.1,78.2,0.27,16.34
2024-04-30,0.00,56.1,67.7,79.4,0.66,18.57
2024-05-01,0.00,54.5,66.2,77.9,0.35,14.57
2024-05-02,0.00,53.7,70.0,86.3,0.65,29.32
2024-05-03,0.00,59.3,73.4,87.4,0.67,27.25
2024-05-04,0.23,63.2,73.4,83.5,0.34,16.12
2024-05-05,0.56,63.8,70.2,76.6,0.46,9.73
2024-05-06,0.09,65.4,74.3,83.1,0.54,15.22
2024-05-07,0.00,64.8,74.9,85.0,0.58,18.56
2024-05-08,0.00,67.2,75.7,84.3,1.79,18.33
2024-05-09,0.63,64.0,74.3,84.6,0.56,16.20
2024-05-10,0.67,64.1,68.4,72.8,0.75,5.84
2024-05-11,0.00,49.9,65.9,81.9,0.73,20.90
2024-05-12,0.00,53.0,64.6,76.2,1.16,19.39
2024-05-13,0.00,56.2,68.8,81.4,1.15,26.07
2024-05-14,0.10,59.8,63.3,66.8,0.28,5.72
2024-05-15,0.12,63.0,71.0,79.1,0.32,11.45
2024-05-16,0.19,60.8,70.7,80.6,0.72,16.53
2024-05-17,0.00,62.4,74.0,85.5,0.77,22.13
2024-05-18,0.03,64.2,69.2,74.1,0.50,6.42
2024-05-19,0.04,65.1,70.9,76.8,0.58,7.89
2024-05-20,0.40,58.2,68.8,79.5,0.38,13.54
2024-05-21,0.00,61.0,72.6,84.2,0.57,20.70
2024-05-22,0.00,60.0,73.1,86.1,0.76,22.87
2024-05-23,0.00,64.6,75.7,86.9,0.82,23.31
2024-05-24,0.00,66.4,77.0,87.5,1.21,22.24
2024-05-25,0.20,64.1,75.9,87.7,0.55,20.58
2024-05-26,0.34,64.6,74.5,84.4,0.44,17.11
2024-05-27,0.02,67.8,79.0,90.2,0.75,21.96
2024-05-28,0.46,64.4,73.8,83.2,0.47,12.70
2024-05-29,0.00,59.8,72.6,85.4,1.64,26.84
2024-05-30,0.00,55.3,70.0,84.7,1.09,29.21
2024-05-31,0.00,55.4,69.1,82.8,0.88,25.52
2024-06-01,0.00,58.0,69.8,81.7,2.72,22.29
2024-06-02,0.00,63.0,71.7,80.3,1.63,20.82
2024-06-03,0.38,67.3,74.5,81.7,0.83,14.70
2024-06-04,0.04,67.0,77.8,88.5,0.49,22.55
2024-06-05,0.01,68.7,78.2,87.7,0.75,20.92
2024-06-06,0.04,68.4,76.7,85.1,0.61,17.39
2024-06-07,0.00,68.9,77.5,86.0,1.40,17.26
2024-06-08,0.00,57.4,72.9,88.3,1.59,30.71
2024-06-09,0.00,62.5,75.7,88.9,1.79,30.54
2024-06-10,0.15,68.7,80.9,93.1,1.04,31.00
2024-06-11,0.00,58.4,71.7,84.9,0.98,24.56
2024-06-12,0.00,62.0,75.0,88.0,1.10,29.28
2024-06-13,0.00,65.2,77.0,88.9,1.40,26.24
2024-06-14,0.00,64.1,77.4,90.8,1.16,29.97
2024-06-15,0.00,68.0,81.4,94.7,1.68,35.46
2024-06-16,0.00,71.0,84.3,97.5,2.63,38.54
2024-06-17,0.00,70.4,83.0,95.6,2.18,34.27
2024-06-18,0.00,68.6,80.9,93.2,2.75,29.54
2024-06-19,0.00,66.3,77.9,89.4,2.50,27.60
2024-06-20,0.00,66.5,77.4,88.2,2.26,26.11
2024-06-21,0.00,63.5,76.8,90.1,1.10,28.77
2024-06-22,0.00,66.6,79.6,92.5,1.90,31.96
2024-06-23,0.00,71.1,83.1,95.2,1.55,32.71
2024-06-24,0.00,73.8,86.3,98.8,3.83,44.02
2024-06-25,0.00,66.1,81.3,96.5,4.05,43.08
2024-06-26,0.00,66.9,82.7,98.5,2.69,44.94
2024-06-27,0.00,72.8,86.5,100.2,5.17,48.88
2024-06-28,1.22,71.2,81.3,91.4,0.70,24.26
2024-06-29,0.06,73.0,82.8,92.7,0.93,24.64
2024-06-30,0.26,74.4,84.4,94.4,0.94,27.16
2024-07-01,0.00,75.8,86.8,97.8,1.60,33.58
2024-07-02,0.00,73.1,83.8,94.5,3.87,29.28
2024-07-03,0.00,68.9,79.6,90.3,2.93,30.23
2024-07-04,0.00,72.0,82.6,93.2,1.13,27.26
2024-07-05,0.00,75.1,86.0,96.9,1.82,32.78
2024-07-06,0.01,74.6,86.4,98.1,1.32,34.34
2024-07-07,0.00,73.6,85.2,96.8,1.18,32.18
2024-07-08,0.65,71.8,81.3,90.8,0.60,19.75
2024-07-09,0.00,73.4,83.3,93.3,1.19,23.92
2024-07-10,0.00,74.6,85.0,95.4,1.37,28.77
2024-07-11,0.00,66.2,77.8,89.3,2.36,25.12
2024-07-12,0.00,66.6,79.7,92.7,1.74,32.95
2024-07-13,0.00,69.4,82.8,96.2,1.47,38.79
2024-07-14,0.00,70.8,84.1,97.5,1.56,39.19
2024-07-15,0.00,73.9,86.5,99.2,3.17,43.05
2024-07-16,0.30,71.8,85.6,99.4,1.30,42.41
2024-07-17,0.00,73.3,84.2,95.0,2.71,32.83
2024-07-18,0.09,71.1,83.2,95.3,1.20,31.83
2024-07-19,0.35,71.6,83.1,94.6,0.83,31.42
2024-07-20,0.77,69.7,78.8,87.8,0.24,18.08
2024-07-21,1.84,71.7,78.9,86.1,0.91,14.73
2024-07-22,0.19,70.3,78.8,87.3,0.50,15.86
2024-07-23,0.00,71.3,79.6,87.8,0.67,18.90
2024-07-24,0.85,70.2,80.0,89.9,0.35,20.47
2024-07-25,0.43,71.4,81.2,91.0,0.40,22.09
2024-07-26,0.70,72.3,79.8,87.4,0.43,16.43
2024-07-27,0.05,72.1,80.9,89.8,0.64,20.02
2024-07-28,0.00,70.6,78.0,85.4,0.70,14.82
2024-07-29,1.00,71.1,77.1,83.1,0.38,10.08
2024-07-30,0.29,69.6,77.9,86.1,0.55,13.54
2024-07-31,0.06,68.7,80.6,92.5,0.73,21.48
2024-08-01,0.00,70.8,82.7,94.6,0.76,26.59
2024-08-02,0.00,74.3,85.0,95.7,0.73,28.00
2024-08-03,0.00,74.0,84.1,94.2,1.54,31.02
2024-08-04,0.00,71.5,81.6,91.6,0.71,26.53
2024-08-05,0.03,72.6,82.5,92.4,0.59,24.47
2024-08-06,0.00,74.4,81.4,88.5,1.36,19.07
2024-08-07,0.00,72.6,80.7,88.8,2.40,20.40
2024-08-08,0.03,73.0,83.7,94.4,1.93,29.14
2024-08-09,0.00,72.0,83.2,94.5,0.99,27.50
2024-08-10,0.00,72.7,84.7,96.7,1.77,32.82
2024-08-11,0.00,71.4,83.3,95.2,1.51,31.01
2024-08-12,0.00,70.7,82.6,94.5,1.41,29.39
2024-08-13,0.00,70.8,81.8,92.9,0.98,27.67
2024-08-14,0.30,71.3,81.9,92.4,1.09,27.02
