"Species","ID_No","Clutch.ID","Date.eggs.hatched","Stocking.density","Tank.ID","Date.stocked","Year","Date.metamorphosed","Days.to.metamorphosis","Mass.g.metamorphosed","Mark","Fate.comments","Mortality","Facility"
"Rcapito",246,"gf1","2/16/19",50,4,"2/27/19","2019","5/30/19",NA,"5.98",NA,"NDF",NA,"UGA"
"Rcapito",247,"gf1","2/16/19",50,4,"2/27/19","2019","5/30/19",NA,"6.82",NA,"NDF","dead 6/4","UGA"
"Rcapito",248,"gf1","2/16/19",50,4,"2/27/19","2019","5/30/19",NA,"6.31",NA,"NDF",NA,"UGA"
"Rcapito",250,"gf1","2/16/19",50,4,"2/27/19","2019","5/30/19",NA,"8.85",NA,"NDF",NA,"UGA"
"Rcapito",251,"gf1","2/16/19",50,4,"2/27/19","2019","5/30/19",NA,"3.74",NA,"NDF",NA,"UGA"
"Rcapito",253,"gf1","2/16/19",50,4,"2/27/19","2019","5/30/19",NA,"5.98",NA,"NDF","dead 6/1","UGA"
"Rcapito",254,"gf1","2/16/19",50,4,"2/27/19","2019","5/30/19",NA,"5.85",NA,"NDF",NA,"UGA"
"Rcapito",257,"gf1","2/16/19",50,4,"2/27/19","2019","5/30/19",NA,"5.3",NA,"NDF","dead 5/31","UGA"
"Rcapito",258,"gf1","2/16/19",50,4,"2/27/19","2019","5/30/19",NA,"5.31",NA,"NDF","dead 5/30","UGA"
"Rcapito",375,"gf1","2/16/19",50,4,"2/27/19","2019","6/1/19",NA,"4.94",NA,"NDF",NA,"UGA"
"Rcapito",400,"gf1","2/16/19",50,4,"2/27/19","2019","6/21/19",NA,"5.32",NA,"NDF",NA,"UGA"
"Rcapito",401,"gf1","2/16/19",50,4,"2/27/19","2019","6/21/19",NA,"4.69",NA,"NDF",NA,"UGA"
"Rcapito",499,"gf1","2/16/19",50,4,"2/27/19","2019","6/3/19",NA,"4.64",NA,"NDF",NA,"UGA"
"Rcapito",501,"gf1","2/16/19",50,4,"2/27/19","2019","6/3/19",NA,"5.01",NA,"NDF",NA,"UGA"
"Rcapito",604,"gf1","2/16/19",50,4,"2/27/19","2019","6/4/19",NA,"4.97",NA,"NDF",NA,"UGA"
"Rcapito",606,"gf1","2/16/19",50,4,"2/27/19","2019","6/4/19",NA,"4.08",NA,"NDF",NA,"UGA"
"Rcapito",659,"gf1","2/16/19",50,4,"2/27/19","2019","6/5/19",NA,"6.67",NA,"NDF","DEAD 6/6","UGA"
"Rcapito",966,"gf1","2/16/19",50,4,"2/27/19","2019","6/12/19",NA,"3.07",NA,"NDF",NA,"UGA"
"Rcapito",605,"gf1","2/16/19",50,4,"2/27/19","2019","6/4/19",NA,"5.19",NA,"NDF ""RANA VIRUS?""",NA,"UGA"
"Rcapito",372,"gf1","2/16/19",50,4,"2/27/19","2019","6/1/19",NA,"4.61",NA,"NDF 0.25 CM TAIL","DEAD 6/2","UGA"
"Rcapito",374,"gf1","2/16/19",50,4,"2/27/19","2019","6/1/19",NA,"5.05",NA,"NDF 0.5 CM TAIL","DEAD 6/4","UGA"
"Rcapito",255,"gf1","2/16/19",50,4,"2/27/19","2019","5/30/19",NA,"5.25",NA,"NDF GILL","dead 5/30","UGA"
"Rcapito",749,"gf1","2/16/19",50,4,"2/27/19","2019","6/7/19",NA,"4.21",NA,"NDF GILL",NA,"UGA"
"Rcapito",249,"gf1","2/16/19",50,4,"2/27/19","2019","5/30/19",NA,"5.31",NA,"NDF NE",NA,"UGA"
"Rcapito",256,"gf1","2/16/19",50,4,"2/27/19","2019","5/30/19",NA,"6.09",NA,"NDF NE","dead 5/31","UGA"
"Rcapito",399,"gf1","2/16/19",50,4,"2/27/19","2019","6/21/19",NA,"4.44",NA,"NDF NE",NA,"UGA"
"Rcapito",402,"gf1","2/16/19",50,4,"2/27/19","2019","6/21/19",NA,"5.82",NA,"NDF NE",NA,"UGA"
"Rcapito",500,"gf1","2/16/19",50,4,"2/27/19","2019","6/3/19",NA,"5.2",NA,"NDF NE","EUTHANIZED 6/4","UGA"
"Rcapito",502,"gf1","2/16/19",50,4,"2/27/19","2019","6/3/19",NA,"4.97",NA,"NDF NE",NA,"UGA"
"Rcapito",658,"gf1","2/16/19",50,4,"2/27/19","2019","6/5/19",NA,"4.41",NA,"NDF NE",NA,"UGA"
"Rcapito",883,"gf1","2/16/19",50,4,"2/27/19","2019","6/10/19",NA,"4.57",NA,"NDF NE",NA,"UGA"
"Rcapito",252,"gf1","2/16/19",50,4,"2/27/19","2019","5/30/19",NA,"3.68",NA,"NDF NE ""sickly""","found dead 7/3","UGA"
"Rcapito",373,"gf1","2/16/19",50,4,"2/27/19","2019","6/1/19",NA,"4.45",NA,"NDF NE GILL 1CM TAIL",NA,"UGA"
"Rcapito",914,"gf1","2/16/19",50,4,"2/27/19","2019","6/11/19",NA,"5.26",NA,NA,NA,"UGA"
"Rcapito",982,"gf1","2/16/19",50,4,"2/27/19","2019","6/12/19",NA,"3.88",NA,NA,NA,"UGA"
"Rcapito",1002,"gf1","2/16/19",50,4,"2/27/19","2019","6/13/19",NA,"4.62",NA,NA,NA,"UGA"
"Rcapito",1094,"gf1","2/16/19",50,4,"2/27/19","2019","6/17/19",NA,"4.51",NA,NA,NA,"UGA"
"Rcapito",1209,"gf1","2/16/19",50,4,"2/27/19","2019","6/20/19",NA,"5.28",NA,NA,NA,"UGA"
"Rcapito",912,"gf2","2/16/19",50,5,"2/27/19","2019","6/10/19",NA,"4.34",NA,"GILL",NA,"UGA"
"Rcapito",240,"gf2","2/16/19",50,5,"2/27/19","2019","5/30/19",NA,"6.13",NA,"NDF",NA,"UGA"
"Rcapito",269,"gf2","2/16/19",50,5,"2/27/19","2019","5/31/19",NA,"4.33",NA,"NDF",NA,"UGA"
"Rcapito",270,"gf2","2/16/19",50,5,"2/27/19","2019","5/31/19",NA,"5.21",NA,"NDF",NA,"UGA"
"Rcapito",377,"gf2","2/16/19",50,5,"2/27/19","2019","6/1/19",NA,"5.14",NA,"NDF",NA,"UGA"
"Rcapito",386,"gf2","2/16/19",50,5,"2/27/19","2019","6/21/19",NA,"3.99",NA,"NDF",NA,"UGA"
"Rcapito",516,"gf2","2/16/19",50,5,"2/27/19","2019","6/3/19",NA,"4.41",NA,"NDF",NA,"UGA"
"Rcapito",517,"gf2","2/16/19",50,5,"2/27/19","2019","6/3/19",NA,"4.25",NA,"NDF",NA,"UGA"
"Rcapito",518,"gf2","2/16/19",50,5,"2/27/19","2019","6/3/19",NA,"4.41",NA,"NDF",NA,"UGA"
"Rcapito",519,"gf2","2/16/19",50,5,"2/27/19","2019","6/3/19",NA,"4.91",NA,"NDF",NA,"UGA"
