"Species","ID_No","Clutch.ID","Date.eggs.hatched","Stocking.density","Tank.ID","Date.stocked","Year","Date.metamorphosed","Days.to.metamorphosis","Mass.g.metamorphosed","Mark","Fate.comments","Mortality","Facility","Person Entering Data"
"Rcapito",9,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-07,88,4.58,NA,NA,NA,"UGA","AKB"
"Rcapito",52,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-07,88,4.9,NA,".5 cm tail",NA,"UGA","AKB"
"Rcapito",176,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-12,93,4.77,NA,NA,NA,"UGA","AKB"
"Rcapito",177,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-12,93,4.57,NA,NA,NA,"UGA","AKB"
"Rcapito",178,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-12,93,4.42,NA,NA,NA,"UGA","AKB"
"Rcapito",181,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-12,93,4.74,NA,NA,NA,"UGA","AKB"
"Rcapito",182,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-12,93,3.93,NA,NA,NA,"UGA","AKB"
"Rcapito",183,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-12,93,4.27,NA,NA,NA,"UGA","AKB"
"Rcapito",184,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-12,93,5.65,NA,NA,NA,"UGA","AKB"
"Rcapito",186,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-12,93,4.48,NA,NA,NA,"UGA","AKB"
"Rcapito",187,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-12,93,4.58,NA,NA,NA,"UGA","AKB"
"Rcapito",188,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-12,93,4.15,NA,NA,NA,"UGA","AKB"
"Rcapito",189,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-12,93,4.48,NA,NA,NA,"UGA","AKB"
"Rcapito",190,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-12,93,4.38,NA,NA,NA,"UGA","AKB"
"Rcapito",191,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-12,93,4.76,NA,NA,NA,"UGA","AKB"
"Rcapito",208,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-14,95,4.5,NA,NA,NA,"UGA","AKB"
"Rcapito",301,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-16,97,4.88,NA,NA,NA,"UGA","AKB"
"Rcapito",302,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-16,97,4.82,NA,NA,NA,"UGA","AKB"
"Rcapito",303,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-16,97,3.27,NA,NA,NA,"UGA","AKB"
"Rcapito",304,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-16,97,4.53,NA,NA,NA,"UGA","AKB"
"Rcapito",312,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-16,97,4.02,NA,NA,NA,"UGA","AKB"
"Rcapito",313,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-16,97,5.63,NA,NA,NA,"UGA","AKB"
"Rcapito",318,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-16,97,3.27,NA,NA,NA,"UGA","AKB"
"Rcapito",347,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-16,97,5,NA,NA,NA,"UGA","AKB"
"Rcapito",351,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-16,97,4.94,NA,NA,NA,"UGA","AKB"
"Rcapito",352,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-16,97,4.3,NA,NA,NA,"UGA","AKB"
"Rcapito",353,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-16,97,4.5,NA,NA,NA,"UGA","AKB"
"Rcapito",359,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-16,97,5.44,NA,NA,NA,"UGA","AKB"
"Rcapito",361,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-16,97,4.54,NA,NA,NA,"UGA","AKB"
"Rcapito",362,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-16,97,5.23,NA,NA,NA,"UGA","AKB"
"Rcapito",364,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-16,97,4.54,NA,NA,NA,"UGA","AKB"
"Rcapito",417,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-18,99,5.32,NA,NA,NA,"UGA","AKB"
"Rcapito",442,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-18,99,5.37,NA,NA,NA,"UGA","AKB"
"Rcapito",443,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-18,99,5.55,NA,"1 cm tail",NA,"UGA","AKB"
"Rcapito",445,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-18,99,3.94,NA,NA,NA,"UGA","AKB"
"Rcapito",501,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-21,102,4.28,NA,NA,NA,"UGA","AKB"
"Rcapito",503,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-21,102,4.3,NA,NA,NA,"UGA","AKB"
"Rcapito",512,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-21,102,5.17,NA,NA,NA,"UGA","AKB"
"Rcapito",513,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-21,102,5.22,NA,NA,NA,"UGA","AKB"
"Rcapito",547,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-21,102,4.04,NA,NA,NA,"UGA","AKB"
"Rcapito",552,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-21,102,4.82,NA,NA,NA,"UGA","AKB"
"Rcapito",560,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-21,102,4.86,NA,NA,NA,"UGA","AKB"
"Rcapito",565,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-21,102,4.88,NA,"1 cm tail",NA,"UGA","AKB"
"Rcapito",568,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-21,102,3.69,NA,NA,NA,"UGA","AKB"
"Rcapito",575,"ARWMAgf1","2/23/21",60,1,2021-03-11,"2021",2021-06-21,102,4.74,NA,NA,NA,"UGA","AKB"
"Rcapito",169,"ARWMAgf1","2/23/21",60,2,2021-03-11,"2021",2021-06-12,93,4.71,NA,NA,NA,"UGA","AKB"
