"Species","ID_No","Clutch.ID","Date.eggs.hatched","Stocking.density","Tank.ID","Date.stocked","Days.to.metamorphosis","Year","Date.metamorphosed","Mass.g.metamorphosed","Mark","Fate.comments","Mortality","Facility","Person Entering Data"
"Rcapito",55,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/13/22",1.82,NA,NA,NA,"White Hall","CP"
"Rcapito",169,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","6/20/22",1.86,NA,NA,NA,"White Hall","CP"
"Rcapito",203,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","6/22/22",1.91,NA,NA,NA,"White Hall","CP"
"Rcapito",64,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","6/15/22",1.94,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",66,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","6/15/22",2.11,NA,NA,NA,"White Hall","CP"
"Rcapito",77,"gf3","3/2/22",60,"12","3/16/22",NA,"2022","6/15/22",2.23,NA,NA,NA,"White Hall","CP"
"Rcapito",219,"gf2","3/2/22",60,"22","3/16/22",NA,"2022","6/22/22",2.24,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",106,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/15/22",2.25,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",358,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","6/24/22",2.25,NA,NA,NA,"White Hall","CP"
"Rcapito",54,"gf2","3/2/22",60,"20","3/16/22",NA,"2022","6/13/22",2.27,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",29,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","6/13/22",2.28,NA,NA,NA,"White Hall","CP"
"Rcapito",45,"gf2","3/2/22",60,"14","3/16/22",NA,"2022","6/13/22",2.34,NA,NA,NA,"White Hall","CP"
"Rcapito",127,"gf2","3/2/22",60,"20","3/16/22",NA,"2022","6/17/22",2.36,NA,NA,NA,"White Hall","CP"
"Rcapito",89,"gf2","3/2/22",60,"13","3/16/22",NA,"2022","6/15/22",2.37,NA,NA,NA,"White Hall","CP"
"Rcapito",229,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/22/22",2.38,NA,NA,NA,"White Hall","CP"
"Rcapito",215,"gf2","3/2/22",60,"22","3/16/22",NA,"2022","6/22/22",2.44,NA,NA,NA,"White Hall","CP"
"Rcapito",103,"gf3","3/2/22",60,"21","3/16/22",NA,"2022","6/15/22",2.46,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",186,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","6/22/22",2.46,NA,NA,NA,"White Hall","CP"
"Rcapito",206,"gf3","3/2/22",60,"15","3/16/22",NA,"2022","6/22/22",2.46,NA,NA,NA,"White Hall","CP"
"Rcapito",185,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","6/22/22",2.47,NA,NA,NA,"White Hall","CP"
"Rcapito",204,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","6/22/22",2.47,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",207,"gf3","3/2/22",60,"15","3/16/22",NA,"2022","6/22/22",2.49,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",65,"gf2","3/2/22",60,"6","3/16/22",NA,"2022","6/15/22",2.5,NA,"plastic container",NA,"White Hall","CP"
"Rcapito",132,"gf2","3/2/22",60,"22","3/16/22",NA,"2022","6/17/22",2.5,NA,"still had full tail, weigh after",NA,"White Hall","CP"
"Rcapito",171,"gf2","3/2/22",60,"2","3/16/22",NA,"2022","6/20/22",2.5,NA,NA,NA,"White Hall","CP"
"Rcapito",176,"gf2","3/2/22",60,"8","3/16/22",NA,"2022","6/22/22",2.5,NA,NA,NA,"White Hall","CP"
"Rcapito",618,"gf2","3/2/22",60,"23","3/16/22",NA,"2022","7/6/22",2.5,NA,NA,NA,"White Hall","CP"
