"Species","ID_No","Clutch.ID","Date.eggs.hatched","Stocking.density","Date.stocked","Tank.ID","Year","Date.metamorphosed","Mass.g.metamorphosed","Mark","Fate.comments","Mortality","Facility","Person Entering Data","Date.collected","Days.to.metamorphosis"
"Rcapito",284,"gf1",NA,60,"3/4/23",1,2023,2023-06-16,4.24,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",318,"gf1",NA,60,"3/4/23",1,2023,2023-06-18,4.55,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",378,"gf1",NA,60,"3/4/23",1,2023,2023-06-18,5.26,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",382,"gf1",NA,60,"3/4/23",1,2023,2023-06-18,5.2,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",461,"gf1",NA,60,"3/4/23",1,2023,2023-06-21,4.58,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",494,"gf1",NA,60,"3/4/23",1,2023,2023-06-21,5.85,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",569,"gf1",NA,60,"3/4/23",1,2023,2023-06-21,5.01,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",601,"gf1",NA,60,"3/4/23",1,2023,2023-06-23,3.83,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",677,"gf1",NA,60,"3/4/23",1,2023,2023-06-23,3.92,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",686,"gf1",NA,60,"3/4/23",1,2023,2023-06-23,3.84,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",740,"gf1",NA,60,"3/4/23",1,2023,2023-06-26,4.62,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",741,"gf1",NA,60,"3/4/23",1,2023,2023-06-26,4.62,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",742,"gf1",NA,60,"3/4/23",1,2023,2023-06-26,4.44,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",743,"gf1",NA,60,"3/4/23",1,2023,2023-06-26,4.06,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",744,"gf1",NA,60,"3/4/23",1,2023,2023-06-26,3.64,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",745,"gf1",NA,60,"3/4/23",1,2023,2023-06-26,3.42,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",746,"gf1",NA,60,"3/4/23",1,2023,2023-06-26,5.46,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",747,"gf1",NA,60,"3/4/23",1,2023,2023-06-26,4.05,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",748,"gf1",NA,60,"3/4/23",1,2023,2023-06-26,5.58,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",824,"gf1",NA,60,"3/4/23",1,2023,2023-06-28,3.48,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",825,"gf1",NA,60,"3/4/23",1,2023,2023-06-28,6.25,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",826,"gf1",NA,60,"3/4/23",1,2023,2023-06-28,5.55,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",827,"gf1",NA,60,"3/4/23",1,2023,2023-06-28,4.77,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",927,"gf1",NA,60,"3/4/23",1,2023,2023-06-28,4.01,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",966,"gf1",NA,60,"3/4/23",1,2023,2023-06-30,4.04,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",967,"gf1",NA,60,"3/4/23",1,2023,2023-06-30,5.49,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",968,"gf1",NA,60,"3/4/23",1,2023,2023-06-30,5.42,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",969,"gf1",NA,60,"3/4/23",1,2023,2023-06-30,5.23,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",970,"gf1",NA,60,"3/4/23",1,2023,2023-06-30,5.88,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",982,"gf1",NA,60,"3/4/23",1,2023,2023-06-30,5.86,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1008,"gf1",NA,60,"3/4/23",1,2023,2023-07-03,4.61,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1009,"gf1",NA,60,"3/4/23",1,2023,2023-07-03,4.44,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1010,"gf1",NA,60,"3/4/23",1,2023,2023-07-03,3.99,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1017,"gf1",NA,60,"3/4/23",1,2023,2023-07-03,5.68,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1027,"gf1",NA,60,"3/4/23",1,2023,2023-07-03,5.2,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1028,"gf1",NA,60,"3/4/23",1,2023,2023-07-03,4,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1029,"gf1",NA,60,"3/4/23",1,2023,2023-07-03,3.97,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1053,"gf1",NA,60,"3/4/23",1,2023,2023-07-05,5.04,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1054,"gf1",NA,60,"3/4/23",1,2023,2023-07-05,5.44,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1086,"gf1",NA,60,"3/4/23",1,2023,2023-07-07,3.9,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1089,"gf1",NA,60,"3/4/23",1,2023,2023-07-07,5.1,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1090,"gf1",NA,60,"3/4/23",1,2023,2023-07-07,4.74,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1092,"gf1",NA,60,"3/4/23",1,2023,2023-07-07,4.66,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1094,"gf1",NA,60,"3/4/23",1,2023,2023-07-07,4.13,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1133,"gf1",NA,60,"3/4/23",1,2023,2023-07-10,4.7,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1138,"gf1",NA,60,"3/4/23",1,2023,2023-07-10,4.65,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1145,"gf1",NA,60,"3/4/23",1,2023,2023-07-10,5.36,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1156,"gf1",NA,60,"3/4/23",1,2023,2023-07-11,5.61,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1157,"gf1",NA,60,"3/4/23",1,2023,2023-07-11,4.53,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1158,"gf1",NA,60,"3/4/23",1,2023,2023-07-11,3.88,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1163,"gf1",NA,60,"3/4/23",1,2023,2023-07-12,5.22,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",1171,"gf1",NA,60,"3/4/23",1,2023,2023-07-12,5.08,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",31,"gf1",NA,60,"3/4/23",2,2023,2023-06-10,3.76,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",32,"gf1",NA,60,"3/4/23",2,2023,2023-06-10,4.01,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",163,"gf1",NA,60,"3/4/23",2,2023,2023-06-14,6.15,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",238,"gf1",NA,60,"3/4/23",2,2023,2023-06-16,5.18,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",279,"gf1",NA,60,"3/4/23",2,2023,2023-06-16,4.88,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",280,"gf1",NA,60,"3/4/23",2,2023,2023-06-16,4.2,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
"Rcapito",281,"gf1",NA,60,"3/4/23",2,2023,2023-06-16,2.88,"N/A","N/A","N/A","UGA","CE","2/13/23",NA
