"Year","Date.metamorphosed","Mass.g.metamorphosed","Fate.comments","Clutch.ID","Date.stocked","Date.eggs.hatched","Stocking.density","Tank.ID","Days.to.metamorphosis"
"2011","6/2/11","3.1","nsa (6/20/11)","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","4.25",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","4.51",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","3.96",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","3.69",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","3.27",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","3.51",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","3.35",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","2.74","*B32 was not used","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","3.08",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","3.63",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","3.22",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","3.33",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","3.73","new skin applied (nsa)","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","2.45","new skin applied (nsa)","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","3.56","new skin applied (nsa)","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","2.74","no newskin","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","3.73","no newskin","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","3.7","did not use","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","3.29","no newskin","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","2.76","nsa","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","3.93","nsa, high on thigh","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","2.8","no newsking, at knee","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/3/11","4.13","B44 was last","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/3/11","4.14",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/3/11","3.43",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/3/11","3.52","small tail remaining","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/3/11","3.18",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/3/11","3.33",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/3/11","4.17","small tail remaining","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/3/11","3.04",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/3/11","3.02",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/3/11","3.09",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/3/11","4.22","tail remaining","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/3/11","3.28",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/3/11","3.33",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/4/11","na","preserved in ethanol","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/4/11","3.78",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/4/11","3.78","tail nub remaining","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/4/11","3.49",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/4/11","3.54",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/4/11","3.7",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/4/11","3.96",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/5/11","3.5","tail nub","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/5/11","3.42","small tail","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/5/11","3.03","small tail","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/5/11","4.66","tail nub","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/5/11","3.52","small tail","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/6/11","4.08","dead in tank, preserve in EtOH","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/6/11","3.42","tail nub","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/6/11","2.91","tail nub","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/6/11","3.66","tail nub","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/6/11","3.56","small tail remaining","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/7/11","3.04","tail nub","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/8/11","3.69",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/8/11","3.42",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/8/11","3.49",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/9/11","3.31",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/9/11","4.01",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/9/11","2.99",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/10/11","4.6","small tail","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/10/11","3.78",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/10/11","3.75","tail nub","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/10/11","4.24","tail nub","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/10/11","4.32","tail nub","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/11/11","4.56","tail nub","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/11/11","3.99","tail nub","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/11/11","4.34","tail nub","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/13/11","4.11",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/13/11","3.04",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/14/11","3.9",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/14/11","3.63",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/15/11","4.49",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/17/11","4.89","tail nub","Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/17/11","2.85",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/18/11","4.74",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/19/11","4.6",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/21/11","5.5",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/21/11","5.04",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/29/11","6.12",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/29/11","6.09",NA,"Rcap1","3/11/11","2/25/11","100","1",NA
"2011","6/2/11","4.33","nsa","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","2.78","nsa","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","3.19","nsa","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","2.91","nsa","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","3.9","nsa","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","3.16","nsa","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","4.45","nsa","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","4.16","nsa","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","3.59","nsa","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","2.71","nsa","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","3.21","nsa","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","2.85",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","3.58",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","2.69",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","2.98",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","4.07",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/2/11","3.15","dead in tank","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/3/11","2.72",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/3/11","3.34",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/3/11","3.95",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/3/11","3.02","tail nub","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/4/11","3.47","tail nub left","Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/4/11","3.1",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/4/11","2.97",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
"2011","6/4/11","3.18",NA,"Rcap2","3/11/11","2/25/11","100","2",NA
