"Year","Date.metamorphosed","Mass.g.metamorphosed","Fate.comments","Clutch.ID","Date.stocked","Date.eggs.hatched","Stocking.density","Tank.ID","Days.to.metamorphosis","Surv.prop"
"2009",2009-06-10,NA,"data has no mass recorded","Rcap1",2009-03-09,NA,100,"1",93,NA
"2009",2009-06-10,NA,"data has no mass recorded","Rcap1",2009-03-09,NA,100,"1",93,NA
"2009",2009-06-10,"4.6","Andy took blood","Rcap1",2009-03-09,NA,100,"1",93,NA
"2009",2009-06-10,"4.34",NA,"Rcap1",2009-03-09,NA,100,"1",93,NA
"2009",2009-06-10,"4.21",NA,"Rcap1",2009-03-09,NA,100,"1",93,NA
"2009",2009-06-10,"2.8",NA,"Rcap1",2009-03-09,NA,100,"1",93,NA
"2009",2009-06-10,"3.5","Andy took blood","Rcap1",2009-03-09,NA,100,"1",93,NA
"2009",2009-06-10,"2.89","Andy took blood","Rcap1",2009-03-09,NA,100,"1",93,NA
"2009",2009-06-11,"3.85",NA,"Rcap1",2009-03-09,NA,100,"1",94,NA
"2009",2009-06-11,"4.93",NA,"Rcap1",2009-03-09,NA,100,"1",94,NA
"2009",2009-06-11,"3.82",NA,"Rcap1",2009-03-09,NA,100,"1",94,NA
"2009",2009-06-11,"4.64","Andy took blood","Rcap1",2009-03-09,NA,100,"1",94,NA
"2009",2009-06-12,"4.24","Andy took blood, died after 24 h.","Rcap1",2009-03-09,NA,100,"1",95,NA
"2009",2009-06-12,"3.28","Andy took blood","Rcap1",2009-03-09,NA,100,"1",95,NA
"2009",2009-06-14,"4.49","Andy took blood","Rcap1",2009-03-09,NA,100,"1",97,NA
"2009",2009-06-14,"3.88",NA,"Rcap1",2009-03-09,NA,100,"1",97,NA
"2009",2009-06-14,"4.6",NA,"Rcap1",2009-03-09,NA,100,"1",97,NA
"2009",2009-06-14,"3.94",NA,"Rcap1",2009-03-09,NA,100,"1",97,NA
"2009",2009-06-14,"3.93","Andy took blood - dead on 7/1 - pink butt hemorrhage on thigh)","Rcap1",2009-03-09,NA,100,"1",97,NA
"2009",2009-06-14,"4.01",NA,"Rcap1",2009-03-09,NA,100,"1",97,NA
"2009",2009-06-14,"4.01",NA,"Rcap1",2009-03-09,NA,100,"1",97,NA
"2009",2009-06-15,NA,"Found dead in tank 1-2 Decomp","Rcap1",2009-03-09,NA,100,"1",98,NA
"2009",2009-06-15,"4.53",NA,"Rcap1",2009-03-09,NA,100,"1",98,NA
"2009",2009-06-15,"3.71",NA,"Rcap1",2009-03-09,NA,100,"1",98,NA
"2009",2009-06-15,"3.8",NA,"Rcap1",2009-03-09,NA,100,"1",98,NA
"2009",2009-06-15,"3.34",NA,"Rcap1",2009-03-09,NA,100,"1",98,NA
"2009",2009-06-15,"3.78",NA,"Rcap1",2009-03-09,NA,100,"1",98,NA
"2009",2009-06-15,"4",NA,"Rcap1",2009-03-09,NA,100,"1",98,NA
"2009",2009-06-15,"4.15",NA,"Rcap1",2009-03-09,NA,100,"1",98,NA
"2009",2009-06-15,"5.11",NA,"Rcap1",2009-03-09,NA,100,"1",98,NA
"2009",2009-06-15,"4.49",NA,"Rcap1",2009-03-09,NA,100,"1",98,NA
"2009",2009-06-15,"4.42",NA,"Rcap1",2009-03-09,NA,100,"1",98,NA
"2009",2009-06-15,"4.22",NA,"Rcap1",2009-03-09,NA,100,"1",98,NA
"2009",2009-06-15,"4.56",NA,"Rcap1",2009-03-09,NA,100,"1",98,NA
"2009",2009-06-15,"3.95",NA,"Rcap1",2009-03-09,NA,100,"1",98,NA
"2009",2009-06-15,"4.35",NA,"Rcap1",2009-03-09,NA,100,"1",98,NA
"2009",2009-06-16,NA,"Dead mostly decomp","Rcap1",2009-03-09,NA,100,"1",99,NA
"2009",2009-06-16,"5.01",NA,"Rcap1",2009-03-09,NA,100,"1",99,NA
"2009",2009-06-16,NA,NA,"Rcap1",2009-03-09,NA,100,"1",99,NA
"2009",2009-06-16,"4.92",NA,"Rcap1",2009-03-09,NA,100,"1",99,NA
"2009",2009-06-16,"4.57",NA,"Rcap1",2009-03-09,NA,100,"1",99,NA
"2009",2009-06-16,NA,NA,"Rcap1",2009-03-09,NA,100,"1",99,NA
"2009",2009-06-16,"4.6",NA,"Rcap1",2009-03-09,NA,100,"1",99,NA
"2009",2009-06-16,"3.33",NA,"Rcap1",2009-03-09,NA,100,"1",99,NA
"2009",2009-06-16,"4.25",NA,"Rcap1",2009-03-09,NA,100,"1",99,NA
"2009",2009-06-16,"5.5",NA,"Rcap1",2009-03-09,NA,100,"1",99,NA
"2009",2009-06-16,"3.72","Andy took blood","Rcap1",2009-03-09,NA,100,"1",99,NA
"2009",2009-06-16,"4.95",NA,"Rcap1",2009-03-09,NA,100,"1",99,NA
"2009",2009-06-16,"4.1","Andy took blood","Rcap1",2009-03-09,NA,100,"1",99,NA
"2009",2009-06-18,"3.91",NA,"Rcap1",2009-03-09,NA,100,"1",101,NA
"2009",2009-06-18,"3.44","Andy took blood","Rcap1",2009-03-09,NA,100,"1",101,NA
"2009",2009-06-18,"4.25",NA,"Rcap1",2009-03-09,NA,100,"1",101,NA
"2009",2009-06-18,"3.88","Andy took blood, dead 24 hours after blood draw","Rcap1",2009-03-09,NA,100,"1",101,NA
"2009",2009-06-18,"4.09",NA,"Rcap1",2009-03-09,NA,100,"1",101,NA
"2009",2009-06-20,"2.85","Andy took blood","Rcap1",2009-03-09,NA,100,"1",103,NA
"2009",2009-06-20,"2.94","Andy took blood","Rcap1",2009-03-09,NA,100,"1",103,NA
"2009",2009-06-23,"3.91","Andy took blood","Rcap1",2009-03-09,NA,100,"1",106,NA
"2009",2009-06-23,"3.25",NA,"Rcap1",2009-03-09,NA,100,"1",106,NA
"2009",2009-06-23,"2.53",NA,"Rcap1",2009-03-09,NA,100,"1",106,NA
"2009",2009-06-23,"2.65","Andy took blood","Rcap1",2009-03-09,NA,100,"1",106,NA
"2009",2009-06-24,"2.18",NA,"Rcap1",2009-03-09,NA,100,"1",107,NA
"2009",2009-06-24,"3.42",NA,"Rcap1",2009-03-09,NA,100,"1",107,NA
"2009",2009-06-24,"2.23",NA,"Rcap1",2009-03-09,NA,100,"1",107,NA
"2009",2009-06-26,"2.63","Andy took blood","Rcap1",2009-03-09,NA,100,"1",109,NA
"2009",2009-06-28,"2.14","Andy took blood","Rcap1",2009-03-09,NA,100,"1",111,NA
"2009",2009-06-29,"4.61",NA,"Rcap1",2009-03-09,NA,100,"1",112,NA
"2009",2009-06-29,"3.26",NA,"Rcap1",2009-03-09,NA,100,"1",112,NA
"2009",2009-06-30,"2.9","tail nub","Rcap1",2009-03-09,NA,100,"1",113,NA
"2009",2009-07-01,"2.86","forelimbs emerged, one half tail","Rcap1",2009-03-09,NA,100,"1",114,NA
"2009",2009-07-07,"3.17",NA,"Rcap1",2009-03-09,NA,100,"1",120,NA
"2009",2009-07-09,"3.63",NA,"Rcap1",2009-03-09,NA,100,"1",122,NA
"2009",2009-07-09,"3.14",NA,"Rcap1",2009-03-09,NA,100,"1",122,NA
"2009",2009-07-09,"3.22",NA,"Rcap1",2009-03-09,NA,100,"1",122,NA
"2009",2009-06-11,"2.52",NA,"Rcap1",2009-03-09,NA,106,"2",94,NA
"2009",2009-06-11,"2.4",NA,"Rcap1",2009-03-09,NA,106,"2",94,NA
"2009",2009-06-12,"2.9",NA,"Rcap1",2009-03-09,NA,106,"2",95,NA
"2009",2009-06-12,"2.38",NA,"Rcap1",2009-03-09,NA,106,"2",95,NA
"2009",2009-06-12,"2.53",NA,"Rcap1",2009-03-09,NA,106,"2",95,NA
"2009",2009-06-12,"2.5",NA,"Rcap1",2009-03-09,NA,106,"2",95,NA
"2009",2009-06-14,"2.9",NA,"Rcap1",2009-03-09,NA,106,"2",97,NA
"2009",2009-06-14,"2.79",NA,"Rcap1",2009-03-09,NA,106,"2",97,NA
"2009",2009-06-14,"2.52",NA,"Rcap1",2009-03-09,NA,106,"2",97,NA
"2009",2009-06-14,"3.46",NA,"Rcap1",2009-03-09,NA,106,"2",97,NA
"2009",2009-06-14,"3.13",NA,"Rcap1",2009-03-09,NA,106,"2",97,NA
"2009",2009-06-15,"2.73",NA,"Rcap1",2009-03-09,NA,106,"2",98,NA
"2009",2009-06-15,"3.25",NA,"Rcap1",2009-03-09,NA,106,"2",98,NA
"2009",2009-06-15,"2.94",NA,"Rcap1",2009-03-09,NA,106,"2",98,NA
"2009",2009-06-15,"3.29",NA,"Rcap1",2009-03-09,NA,106,"2",98,NA
"2009",2009-06-15,"3.73",NA,"Rcap1",2009-03-09,NA,106,"2",98,NA
"2009",2009-06-15,"3.18",NA,"Rcap1",2009-03-09,NA,106,"2",98,NA
"2009",2009-06-15,"3.25",NA,"Rcap1",2009-03-09,NA,106,"2",98,NA
"2009",2009-06-15,"2.96",NA,"Rcap1",2009-03-09,NA,106,"2",98,NA
"2009",2009-06-15,"1.94",NA,"Rcap1",2009-03-09,NA,106,"2",98,NA
"2009",2009-06-15,"2.16",NA,"Rcap1",2009-03-09,NA,106,"2",98,NA
"2009",2009-06-16,"3.19",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"2.8",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.37",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.33",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"2.75",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.53",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"2.82",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"2.74",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.44",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.03",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.02",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.02",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"2.88",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.3",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"2.65",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.22",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.2",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.11",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.14",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"2.72",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3.25",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"3",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-16,"2.67",NA,"Rcap1",2009-03-09,NA,106,"2",99,NA
"2009",2009-06-17,NA,"found dead 1/2 tail resorbed","Rcap1",2009-03-09,NA,106,"2",100,NA
"2009",2009-06-18,"2.31",NA,"Rcap1",2009-03-09,NA,106,"2",101,NA
"2009",2009-06-18,"2.51",NA,"Rcap1",2009-03-09,NA,106,"2",101,NA
"2009",2009-06-18,"2.65",NA,"Rcap1",2009-03-09,NA,106,"2",101,NA
"2009",2009-06-18,"2.64",NA,"Rcap1",2009-03-09,NA,106,"2",101,NA
